,constructorName,driverCode,points,grid,position,grid_sprint,position_sprint,delta_sprint,round,race,delta
0,Mercedes,BOT,25.0,1,1,,,,1,Austrian,0
1,Ferrari,LEC,18.0,7,2,,,,1,Austrian,5
2,McLaren,NOR,16.0,3,3,,,,1,Austrian,0
3,Mercedes,HAM,12.0,5,4,,,,1,Austrian,1
4,McLaren,SAI,10.0,8,5,,,,1,Austrian,3
5,Racing Point,PER,8.0,6,6,,,,1,Austrian,0
6,AlphaTauri,GAS,6.0,12,7,,,,1,Austrian,5
7,Renault,OCO,4.0,14,8,,,,1,Austrian,6
8,Alfa Romeo,GIO,2.0,18,9,,,,1,Austrian,9
9,Ferrari,VET,1.0,11,10,,,,1,Austrian,1
10,Williams,LAT,0.0,20,11,,,,1,Austrian,9
11,AlphaTauri,KVY,0.0,13,12,,,,1,Austrian,1
12,Red Bull,ALB,0.0,4,13,,,,1,Austrian,-9
13,Alfa Romeo,RAI,0.0,19,14,,,,1,Austrian,5
14,Williams,RUS,0.0,17,15,,,,1,Austrian,2
15,Haas F1 Team,GRO,0.0,15,16,,,,1,Austrian,-1
16,Haas F1 Team,MAG,0.0,16,17,,,,1,Austrian,-1
17,Racing Point,STR,0.0,9,18,,,,1,Austrian,-9
18,Renault,RIC,0.0,10,19,,,,1,Austrian,-9
19,Red Bull,VER,0.0,2,20,,,,1,Austrian,-18
0,Mercedes,HAM,25.0,1,1,,,,2,Styrian,0
1,Mercedes,BOT,18.0,4,2,,,,2,Styrian,2
2,Red Bull,VER,15.0,2,3,,,,2,Styrian,-1
3,Red Bull,ALB,12.0,6,4,,,,2,Styrian,2
4,McLaren,NOR,10.0,9,5,,,,2,Styrian,4
5,Racing Point,PER,8.0,17,6,,,,2,Styrian,11
6,Racing Point,STR,6.0,12,7,,,,2,Styrian,5
7,Renault,RIC,4.0,8,8,,,,2,Styrian,0
8,McLaren,SAI,3.0,3,9,,,,2,Styrian,-6
9,AlphaTauri,KVY,1.0,13,10,,,,2,Styrian,3
10,Alfa Romeo,RAI,0.0,16,11,,,,2,Styrian,5
11,Haas F1 Team,MAG,0.0,15,12,,,,2,Styrian,3
12,Haas F1 Team,GRO,0.0,0,13,,,,2,Styrian,-13
13,Alfa Romeo,GIO,0.0,19,14,,,,2,Styrian,5
