,constructorName,driverCode,points,grid,position,grid_sprint,position_sprint,delta_sprint,round,race,delta
0,Mercedes,HAM,25.0,2,1,,,,1,Bahrain,1
1,Red Bull,VER,18.0,1,2,,,,1,Bahrain,-1
2,Mercedes,BOT,16.0,3,3,,,,1,Bahrain,0
3,McLaren,NOR,12.0,7,4,,,,1,Bahrain,3
4,Red Bull,PER,10.0,0,5,,,,1,Bahrain,-5
5,Ferrari,LEC,8.0,4,6,,,,1,Bahrain,-2
6,McLaren,RIC,6.0,6,7,,,,1,Bahrain,-1
7,Ferrari,SAI,4.0,8,8,,,,1,Bahrain,0
8,AlphaTauri,TSU,2.0,13,9,,,,1,Bahrain,4
9,Aston Martin,STR,1.0,10,10,,,,1,Bahrain,0
10,Alfa Romeo,RAI,0.0,14,11,,,,1,Bahrain,3
11,Alfa Romeo,GIO,0.0,12,12,,,,1,Bahrain,0
12,Alpine F1 Team,OCO,0.0,16,13,,,,1,Bahrain,3
13,Williams,RUS,0.0,15,14,,,,1,Bahrain,1
14,Aston Martin,VET,0.0,20,15,,,,1,Bahrain,5
15,Haas F1 Team,MSC,0.0,18,16,,,,1,Bahrain,2
16,AlphaTauri,GAS,0.0,5,17,,,,1,Bahrain,-12
17,Williams,LAT,0.0,17,18,,,,1,Bahrain,-1
18,Alpine F1 Team,ALO,0.0,9,19,,,,1,Bahrain,-10
19,Haas F1 Team,MAZ,0.0,19,20,,,,1,Bahrain,-1
0,Red Bull,VER,25.0,3,1,,,,2,Emilia Romagna,2
1,Mercedes,HAM,19.0,1,2,,,,2,Emilia Romagna,-1
2,McLaren,NOR,15.0,7,3,,,,2,Emilia Romagna,4
3,Ferrari,LEC,12.0,4,4,,,,2,Emilia Romagna,0
4,Ferrari,SAI,10.0,11,5,,,,2,Emilia Romagna,6
5,McLaren,RIC,8.0,6,6,,,,2,Emilia Romagna,0
6,AlphaTauri,GAS,6.0,5,7,,,,2,Emilia Romagna,-2
7,Aston Martin,STR,4.0,10,8,,,,2,Emilia Romagna,2
8,Alpine F1 Team,OCO,2.0,9,9,,,,2,Emilia Romagna,0
9,Alpine F1 Team,ALO,1.0,15,10,,,,2,Emilia Romagna,5
10,Red Bull,PER,0.0,2,11,,,,2,Emilia Romagna,-9
11,AlphaTauri,TSU,0.0,20,12,,,,2,Emilia Romagna,8
12,Alfa Romeo,RAI,0.0,16,13,,,,2,Emilia Romagna,3
13,Alfa Romeo,GIO,0.0,17,14,,,,2,Emilia Romagna,3
14,Aston Martin,VET,0.0,0,15,,,,2,Emilia Romagna,-15
15,Haas F1 Team,MSC,0.0,18,16,,,,2,Emilia Romagna,2
16,Haas F1 Team,MAZ,0.0,19,17,,,,2,Emilia Romagna,2
17,Mercedes,BOT,0.0,8,18,,,,2,Emilia Romagna,-10
18,Williams,RUS,0.0,12,19,,,,2,Emilia Romagna,-7
19,Williams,LAT,0.0,14,20,,,,2,Emilia Romagna,-6
0,Mercedes,HAM,25.0,2,1,,,,3,Portuguese,1
1,Red Bull,VER,18.0,3,2,,,,3,Portuguese,1
2,Mercedes,BOT,16.0,1,3,,,,3,Portuguese,-2
3,Red Bull,PER,12.0,4,4,,,,3,Portuguese,0
4,McLaren,NOR,10.0,7,5,,,,3,Portuguese,2
5,Ferrari,LEC,8.0,8,6,,,,3,Portuguese,2
6,Alpine F1 Team,OCO,6.0,6,7,,,,3,Portuguese,-1
7,Alpine F1 Team,ALO,4.0,13,8,,,,3,Portuguese,5
8,McLaren,RIC,2.0,16,9,,,,3,Portuguese,7
9,AlphaTauri,GAS,1.0,9,10,,,,3,Portuguese,-1
10,Ferrari,SAI,0.0,5,11,,,,3,Portuguese,-6
11,Alfa Romeo,GIO,0.0,12,12,,,,3,Portuguese,0
12,Aston Martin,VET,0.0,10,13,,,,3,Portuguese,-3
13,Aston Martin,STR,0.0,17,14,,,,3,Portuguese,3
14,AlphaTauri,TSU,0.0,14,15,,,,3,Portuguese,-1
15,Williams,RUS,0.0,11,16,,,,3,Portuguese,-5
16,Haas F1 Team,MSC,0.0,19,17,,,,3,Portuguese,2
17,Williams,LAT,0.0,18,18,,,,3,Portuguese,0
