,constructorName,driverCode,points,grid,position,grid_sprint,position_sprint,delta_sprint,round,race,delta
0,Red Bull,VER,25.0,1,1,,,,1,Bahrain,0
1,Red Bull,PER,18.0,2,2,,,,1,Bahrain,0
2,Aston Martin,ALO,15.0,5,3,,,,1,Bahrain,2
3,Ferrari,SAI,12.0,4,4,,,,1,Bahrain,0
4,Mercedes,HAM,10.0,7,5,,,,1,Bahrain,2
5,Aston Martin,STR,8.0,8,6,,,,1,Bahrain,2
6,Mercedes,RUS,6.0,6,7,,,,1,Bahrain,-1
7,Alfa Romeo,BOT,4.0,12,8,,,,1,Bahrain,4
8,Alpine F1 Team,GAS,2.0,20,9,,,,1,Bahrain,11
9,Williams,ALB,1.0,15,10,,,,1,Bahrain,5
10,AlphaTauri,TSU,0.0,14,11,,,,1,Bahrain,3
11,Williams,SAR,0.0,16,12,,,,1,Bahrain,4
12,Haas F1 Team,MAG,0.0,17,13,,,,1,Bahrain,4
13,AlphaTauri,DEV,0.0,19,14,,,,1,Bahrain,5
14,Haas F1 Team,HUL,0.0,10,15,,,,1,Bahrain,-5
15,Alfa Romeo,ZHO,0.0,13,16,,,,1,Bahrain,-3
16,McLaren,NOR,0.0,11,17,,,,1,Bahrain,-6
17,Alpine F1 Team,OCO,0.0,9,18,,,,1,Bahrain,-9
18,Ferrari,LEC,0.0,3,19,,,,1,Bahrain,-16
19,McLaren,PIA,0.0,18,20,,,,1,Bahrain,-2
0,Red Bull,PER,25.0,1,1,,,,2,Saudi Arabian,0
1,Red Bull,VER,19.0,15,2,,,,2,Saudi Arabian,13
2,Aston Martin,ALO,15.0,2,3,,,,2,Saudi Arabian,-1
3,Mercedes,RUS,12.0,3,4,,,,2,Saudi Arabian,-1
4,Mercedes,HAM,10.0,7,5,,,,2,Saudi Arabian,2
5,Ferrari,SAI,8.0,4,6,,,,2,Saudi Arabian,-2
6,Ferrari,LEC,6.0,12,7,,,,2,Saudi Arabian,5
7,Alpine F1 Team,OCO,4.0,6,8,,,,2,Saudi Arabian,-2
8,Alpine F1 Team,GAS,2.0,9,9,,,,2,Saudi Arabian,0
9,Haas F1 Team,MAG,1.0,13,10,,,,2,Saudi Arabian,3
10,AlphaTauri,TSU,0.0,16,11,,,,2,Saudi Arabian,5
11,Haas F1 Team,HUL,0.0,10,12,,,,2,Saudi Arabian,-2
12,Alfa Romeo,ZHO,0.0,11,13,,,,2,Saudi Arabian,-2
13,AlphaTauri,DEV,0.0,18,14,,,,2,Saudi Arabian,4
14,McLaren,PIA,0.0,8,15,,,,2,Saudi Arabian,-7
15,Williams,SAR,0.0,20,16,,,,2,Saudi Arabian,4
16,McLaren,NOR,0.0,19,17,,,,2,Saudi Arabian,2
17,Alfa Romeo,BOT,0.0,14,18,,,,2,Saudi Arabian,-4
18,Williams,ALB,0.0,17,19,,,,2,Saudi Arabian,-2
19,Aston Martin,STR,0.0,5,20,,,,2,Saudi Arabian,-15
0,Red Bull,VER,25.0,1,1,,,,3,Australian,0
1,Mercedes,HAM,18.0,3,2,,,,3,Australian,1
2,Aston Martin,ALO,15.0,4,3,,,,3,Australian,1
3,Aston Martin,STR,12.0,6,4,,,,3,Australian,2
4,Red Bull,PER,11.0,0,5,,,,3,Australian,-5
5,McLaren,NOR,8.0,13,6,,,,3,Australian,7
6,Haas F1 Team,HUL,6.0,10,7,,,,3,Australian,3
7,McLaren,PIA,4.0,16,8,,,,3,Australian,8
8,Alfa Romeo,ZHO,2.0,17,9,,,,3,Australian,8
9,AlphaTauri,TSU,1.0,12,10,,,,3,Australian,2
10,Alfa Romeo,BOT,0.0,0,11,,,,3,Australian,-11
11,Ferrari,SAI,0.0,5,12,,,,3,Australian,-7
12,Alpine F1 Team,GAS,0.0,9,13,,,,3,Australian,-4
13,Alpine F1 Team,OCO,0.0,11,14,,,,3,Australian,-3
14,AlphaTauri,DEV,0.0,15,15,,,,3,Australian,0
15,Williams,SAR,0.0,18,16,,,,3,Australian,2
16,Haas F1 Team,MAG,0.0,14,17,,,,3,Australian,-3
17,Mercedes,RUS,0.0,2,18,,,,3,Australian,-16
18,Williams,ALB,0.0,8,19,,,,3,Australian,-11
19,Ferrari,LEC,0.0,7,20,,,,3,Australian,-13
0,Red Bull,PER,33.0,3,1,2.0,1.0,1.0,4,Azerbaijan,2
1,Red Bull,VER,24.0,2,2,3.0,3.0,0.0,4,Azerbaijan,0
2,Ferrari,LEC,22.0,1,3,1.0,2.0,-1.0,4,Azerbaijan,-2
3,Aston Martin,ALO,15.0,6,4,8.0,6.0,2.0,4,Azerbaijan,2
4,Ferrari,SAI,14.0,4,5,5.0,5.0,0.0,4,Azerbaijan,-1
5,Mercedes,HAM,10.0,5,6,6.0,7.0,-1.0,4,Azerbaijan,-1
6,Aston Martin,STR,7.0,9,7,9.0,8.0,1.0,4,Azerbaijan,2
7,Mercedes,RUS,10.0,11,8,4.0,4.0,0.0,4,Azerbaijan,3
8,McLaren,NOR,2.0,7,9,10.0,17.0,-7.0,4,Azerbaijan,-2
9,AlphaTauri,TSU,1.0,8,10,16.0,19.0,-3.0,4,Azerbaijan,-2
10,McLaren,PIA,0.0,10,11,11.0,10.0,1.0,4,Azerbaijan,-1
11,Williams,ALB,0.0,12,12,7.0,9.0,-2.0,4,Azerbaijan,0
12,Haas F1 Team,MAG,0.0,16,13,13.0,11.0,2.0,4,Azerbaijan,3
13,Alpine F1 Team,GAS,0.0,17,14,17.0,13.0,4.0,4,Azerbaijan,3
14,Alpine F1 Team,OCO,0.0,0,15,0.0,18.0,-18.0,4,Azerbaijan,-15
15,Williams,SAR,0.0,14,16,0.0,20.0,-20.0,4,Azerbaijan,-2
16,Haas F1 Team,HUL,0.0,0,17,12.0,15.0,-3.0,4,Azerbaijan,-17
17,Alfa Romeo,BOT,0.0,13,18,15.0,16.0,-1.0,4,Azerbaijan,-5
18,Alfa Romeo,ZHO,0.0,15,19,14.0,12.0,2.0,4,Azerbaijan,-4
19,AlphaTauri,DEV,0.0,18,20,18.0,14.0,4.0,4,Azerbaijan,-2
0,Red Bull,VER,26.0,9,1,,,,5,Miami,8
1,Red Bull,PER,18.0,1,2,,,,5,Miami,-1
2,Aston Martin,ALO,15.0,2,3,,,,5,Miami,-1
3,Mercedes,RUS,12.0,6,4,,,,5,Miami,2
4,Ferrari,SAI,10.0,3,5,,,,5,Miami,-2
5,Mercedes,HAM,8.0,13,6,,,,5,Miami,7
6,Ferrari,LEC,6.0,7,7,,,,5,Miami,0
7,Alpine F1 Team,GAS,4.0,5,8,,,,5,Miami,-3
8,Alpine F1 Team,OCO,2.0,8,9,,,,5,Miami,-1
9,Haas F1 Team,MAG,1.0,4,10,,,,5,Miami,-6
10,AlphaTauri,TSU,0.0,17,11,,,,5,Miami,6
11,Aston Martin,STR,0.0,18,12,,,,5,Miami,6
12,Alfa Romeo,BOT,0.0,10,13,,,,5,Miami,-3
13,Williams,ALB,0.0,11,14,,,,5,Miami,-3
14,Haas F1 Team,HUL,0.0,12,15,,,,5,Miami,-3
15,Alfa Romeo,ZHO,0.0,14,16,,,,5,Miami,-2
16,McLaren,NOR,0.0,16,17,,,,5,Miami,-1
17,AlphaTauri,DEV,0.0,15,18,,,,5,Miami,-3
18,McLaren,PIA,0.0,19,19,,,,5,Miami,0
19,Williams,SAR,0.0,20,20,,,,5,Miami,0
0,Red Bull,VER,25.0,1,1,,,,6,Monaco,0
1,Aston Martin,ALO,18.0,2,2,,,,6,Monaco,0
2,Alpine F1 Team,OCO,15.0,3,3,,,,6,Monaco,0
3,Mercedes,HAM,13.0,5,4,,,,6,Monaco,1
4,Mercedes,RUS,10.0,8,5,,,,6,Monaco,3
5,Ferrari,LEC,8.0,6,6,,,,6,Monaco,0
6,Alpine F1 Team,GAS,6.0,7,7,,,,6,Monaco,0
7,Ferrari,SAI,4.0,4,8,,,,6,Monaco,-4
8,McLaren,NOR,2.0,10,9,,,,6,Monaco,1
9,McLaren,PIA,1.0,11,10,,,,6,Monaco,1
10,Alfa Romeo,BOT,0.0,15,11,,,,6,Monaco,4
