,constructorName,driverCode,points,grid,position,grid_sprint,position_sprint,delta_sprint,round,race,delta
19,Williams,ALB,0.0,16,20,,,,10,British,-4
0,Ferrari,LEC,32.0,2,1,2.0,2.0,0.0,11,Austrian,1
1,Red Bull,VER,27.0,1,2,1.0,1.0,0.0,11,Austrian,-1
2,Mercedes,HAM,16.0,8,3,9.0,8.0,1.0,11,Austrian,5
3,Mercedes,RUS,17.0,4,4,4.0,4.0,0.0,11,Austrian,0
4,Alpine F1 Team,OCO,13.0,6,5,5.0,6.0,-1.0,11,Austrian,1
5,Haas F1 Team,MSC,8.0,9,6,7.0,9.0,-2.0,11,Austrian,3
6,McLaren,NOR,6.0,10,7,15.0,11.0,4.0,11,Austrian,3
7,Haas F1 Team,MAG,6.0,7,8,6.0,7.0,-1.0,11,Austrian,-1
8,McLaren,RIC,2.0,11,9,16.0,12.0,4.0,11,Austrian,2
9,Alpine F1 Team,ALO,1.0,19,10,8.0,20.0,-12.0,11,Austrian,9
10,Alfa Romeo,BOT,0.0,0,11,12.0,10.0,2.0,11,Austrian,-11
11,Williams,ALB,0.0,15,12,11.0,16.0,-5.0,11,Austrian,3
12,Aston Martin,STR,0.0,12,13,17.0,13.0,4.0,11,Austrian,-1
13,Alfa Romeo,ZHO,0.0,13,14,18.0,14.0,4.0,11,Austrian,-1
14,AlphaTauri,GAS,0.0,14,15,10.0,15.0,-5.0,11,Austrian,-1
15,AlphaTauri,TSU,0.0,16,16,14.0,17.0,-3.0,11,Austrian,0
16,Aston Martin,VET,0.0,18,17,20.0,19.0,1.0,11,Austrian,1
17,Ferrari,SAI,6.0,3,18,3.0,3.0,0.0,11,Austrian,-15
18,Williams,LAT,0.0,17,19,19.0,18.0,1.0,11,Austrian,-2
19,Red Bull,PER,4.0,5,20,13.0,5.0,8.0,11,Austrian,-15
0,Red Bull,VER,25.0,2,1,,,,12,French,1
1,Mercedes,HAM,18.0,4,2,,,,12,French,2
2,Mercedes,RUS,15.0,6,3,,,,12,French,3
3,Red Bull,PER,12.0,3,4,,,,12,French,-1
4,Ferrari,SAI,11.0,19,5,,,,12,French,14
5,Alpine F1 Team,ALO,8.0,7,6,,,,12,French,1
6,McLaren,NOR,6.0,5,7,,,,12,French,-2
7,Alpine F1 Team,OCO,4.0,10,8,,,,12,French,2
8,McLaren,RIC,2.0,9,9,,,,12,French,0
9,Aston Martin,STR,1.0,15,10,,,,12,French,5
10,Aston Martin,VET,0.0,12,11,,,,12,French,1
11,AlphaTauri,GAS,0.0,14,12,,,,12,French,2
12,Williams,ALB,0.0,13,13,,,,12,French,0
13,Alfa Romeo,BOT,0.0,11,14,,,,12,French,-3
14,Haas F1 Team,MSC,0.0,17,15,,,,12,French,2
15,Alfa Romeo,ZHO,0.0,16,16,,,,12,French,0
16,Williams,LAT,0.0,18,17,,,,12,French,1
17,Haas F1 Team,MAG,0.0,20,18,,,,12,French,2
18,Ferrari,LEC,0.0,1,19,,,,12,French,-18
19,AlphaTauri,TSU,0.0,8,20,,,,12,French,-12
0,Red Bull,VER,25.0,10,1,,,,13,Hungarian,9
1,Mercedes,HAM,19.0,7,2,,,,13,Hungarian,5
2,Mercedes,RUS,15.0,1,3,,,,13,Hungarian,-2
3,Ferrari,SAI,12.0,2,4,,,,13,Hungarian,-2
4,Red Bull,PER,10.0,11,5,,,,13,Hungarian,6
5,Ferrari,LEC,8.0,3,6,,,,13,Hungarian,-3
6,McLaren,NOR,6.0,4,7,,,,13,Hungarian,-3
7,Alpine F1 Team,ALO,4.0,6,8,,,,13,Hungarian,-2
8,Alpine F1 Team,OCO,2.0,5,9,,,,13,Hungarian,-4
9,Aston Martin,VET,1.0,18,10,,,,13,Hungarian,8
10,Aston Martin,STR,0.0,14,11,,,,13,Hungarian,3
11,AlphaTauri,GAS,0.0,0,12,,,,13,Hungarian,-12
12,Alfa Romeo,ZHO,0.0,12,13,,,,13,Hungarian,-1
13,Haas F1 Team,MSC,0.0,15,14,,,,13,Hungarian,1
14,McLaren,RIC,0.0,9,15,,,,13,Hungarian,-6
15,Haas F1 Team,MAG,0.0,13,16,,,,13,Hungarian,-3
16,Williams,ALB,0.0,17,17,,,,13,Hungarian,0
17,Williams,LAT,0.0,19,18,,,,13,Hungarian,1
18,AlphaTauri,TSU,0.0,16,19,,,,13,Hungarian,-3
19,Alfa Romeo,BOT,0.0,8,20,,,,13,Hungarian,-12
0,Red Bull,VER,26.0,14,1,,,,14,Belgian,13
1,Red Bull,PER,18.0,2,2,,,,14,Belgian,0
2,Ferrari,SAI,15.0,1,3,,,,14,Belgian,-2
3,Mercedes,RUS,12.0,5,4,,,,14,Belgian,1
4,Alpine F1 Team,ALO,10.0,3,5,,,,14,Belgian,-2
5,Ferrari,LEC,8.0,15,6,,,,14,Belgian,9
6,Alpine F1 Team,OCO,6.0,16,7,,,,14,Belgian,9
7,Aston Martin,VET,4.0,10,8,,,,14,Belgian,2
8,AlphaTauri,GAS,2.0,0,9,,,,14,Belgian,-9
9,Williams,ALB,1.0,6,10,,,,14,Belgian,-4
10,Aston Martin,STR,0.0,9,11,,,,14,Belgian,-2
11,McLaren,NOR,0.0,17,12,,,,14,Belgian,5
12,AlphaTauri,TSU,0.0,0,13,,,,14,Belgian,-13
13,Alfa Romeo,ZHO,0.0,18,14,,,,14,Belgian,4
14,McLaren,RIC,0.0,7,15,,,,14,Belgian,-8
15,Haas F1 Team,MAG,0.0,12,16,,,,14,Belgian,-4
16,Haas F1 Team,MSC,0.0,19,17,,,,14,Belgian,2
17,Williams,LAT,0.0,11,18,,,,14,Belgian,-7
18,Alfa Romeo,BOT,0.0,13,19,,,,14,Belgian,-6
19,Mercedes,HAM,0.0,4,20,,,,14,Belgian,-16
0,Red Bull,VER,26.0,1,1,,,,15,Dutch,0
1,Mercedes,RUS,18.0,6,2,,,,15,Dutch,4
2,Ferrari,LEC,15.0,2,3,,,,15,Dutch,-1
3,Mercedes,HAM,12.0,4,4,,,,15,Dutch,0
4,Red Bull,PER,10.0,5,5,,,,15,Dutch,0
5,Alpine F1 Team,ALO,8.0,13,6,,,,15,Dutch,7
6,McLaren,NOR,6.0,7,7,,,,15,Dutch,0
7,Ferrari,SAI,4.0,3,8,,,,15,Dutch,-5
8,Alpine F1 Team,OCO,2.0,12,9,,,,15,Dutch,3
9,Aston Martin,STR,1.0,10,10,,,,15,Dutch,0
10,AlphaTauri,GAS,0.0,11,11,,,,15,Dutch,0
11,Williams,ALB,0.0,15,12,,,,15,Dutch,3
12,Haas F1 Team,MSC,0.0,8,13,,,,15,Dutch,-5
13,Aston Martin,VET,0.0,19,14,,,,15,Dutch,5
14,Haas F1 Team,MAG,0.0,18,15,,,,15,Dutch,3
15,Alfa Romeo,ZHO,0.0,14,16,,,,15,Dutch,-2
16,McLaren,RIC,0.0,17,17,,,,15,Dutch,0
17,Williams,LAT,0.0,20,18,,,,15,Dutch,2
18,Alfa Romeo,BOT,0.0,16,19,,,,15,Dutch,-3
19,AlphaTauri,TSU,0.0,9,20,,,,15,Dutch,-11
0,Red Bull,VER,25.0,7,1,,,,16,Italian,6
1,Ferrari,LEC,18.0,1,2,,,,16,Italian,-1
2,Mercedes,RUS,15.0,2,3,,,,16,Italian,-1
3,Ferrari,SAI,12.0,18,4,,,,16,Italian,14
4,Mercedes,HAM,10.0,19,5,,,,16,Italian,14
5,Red Bull,PER,9.0,13,6,,,,16,Italian,7
6,McLaren,NOR,6.0,3,7,,,,16,Italian,-4
7,AlphaTauri,GAS,4.0,5,8,,,,16,Italian,-3
8,Williams,DEV,2.0,8,9,,,,16,Italian,-1
9,Alfa Romeo,ZHO,1.0,9,10,,,,16,Italian,-1
10,Alpine F1 Team,OCO,0.0,14,11,,,,16,Italian,3
11,Haas F1 Team,MSC,0.0,17,12,,,,16,Italian,5
12,Alfa Romeo,BOT,0.0,15,13,,,,16,Italian,2
13,AlphaTauri,TSU,0.0,20,14,,,,16,Italian,6
14,Williams,LAT,0.0,10,15,,,,16,Italian,-5
15,Haas F1 Team,MAG,0.0,16,16,,,,16,Italian,0
16,McLaren,RIC,0.0,4,17,,,,16,Italian,-13
17,Aston Martin,STR,0.0,12,18,,,,16,Italian,-6
18,Alpine F1 Team,ALO,0.0,6,19,,,,16,Italian,-13
19,Aston Martin,VET,0.0,11,20,,,,16,Italian,-9
0,Red Bull,PER,25.0,2,1,,,,17,Singapore,1
1,Ferrari,LEC,18.0,1,2,,,,17,Singapore,-1
2,Ferrari,SAI,15.0,4,3,,,,17,Singapore,1
3,McLaren,NOR,12.0,6,4,,,,17,Singapore,2
4,McLaren,RIC,10.0,16,5,,,,17,Singapore,11
5,Aston Martin,STR,8.0,11,6,,,,17,Singapore,5
6,Red Bull,VER,6.0,8,7,,,,17,Singapore,1
7,Aston Martin,VET,4.0,13,8,,,,17,Singapore,5
8,Mercedes,HAM,2.0,3,9,,,,17,Singapore,-6
9,AlphaTauri,GAS,1.0,7,10,,,,17,Singapore,-3
10,Alfa Romeo,BOT,0.0,15,11,,,,17,Singapore,4
11,Haas F1 Team,MAG,0.0,9,12,,,,17,Singapore,-3
12,Haas F1 Team,MSC,0.0,12,13,,,,17,Singapore,-1
13,Mercedes,RUS,0.0,0,14,,,,17,Singapore,-14
14,AlphaTauri,TSU,0.0,10,15,,,,17,Singapore,-5
15,Alpine F1 Team,OCO,0.0,17,16,,,,17,Singapore,1
16,Williams,ALB,0.0,18,17,,,,17,Singapore,1
17,Alpine F1 Team,ALO,0.0,5,18,,,,17,Singapore,-13
18,Williams,LAT,0.0,19,19,,,,17,Singapore,0
19,Alfa Romeo,ZHO,0.0,14,20,,,,17,Singapore,-6
0,Red Bull,VER,25.0,1,1,,,,18,Japanese,0
1,Red Bull,PER,18.0,4,2,,,,18,Japanese,2
2,Ferrari,LEC,15.0,2,3,,,,18,Japanese,-1
3,Alpine F1 Team,OCO,12.0,5,4,,,,18,Japanese,1
4,Mercedes,HAM,10.0,6,5,,,,18,Japanese,1
5,Aston Martin,VET,8.0,9,6,,,,18,Japanese,3
6,Alpine F1 Team,ALO,6.0,7,7,,,,18,Japanese,0
7,Mercedes,RUS,4.0,8,8,,,,18,Japanese,0
8,Williams,LAT,2.0,20,9,,,,18,Japanese,11
9,McLaren,NOR,1.0,10,10,,,,18,Japanese,0
10,McLaren,RIC,0.0,11,11,,,,18,Japanese,0
11,Aston Martin,STR,0.0,19,12,,,,18,Japanese,7
12,AlphaTauri,TSU,0.0,13,13,,,,18,Japanese,0
13,Haas F1 Team,MAG,0.0,18,14,,,,18,Japanese,4
14,Alfa Romeo,BOT,0.0,12,15,,,,18,Japanese,-3
15,Alfa Romeo,ZHO,0.0,14,16,,,,18,Japanese,-2
16,Haas F1 Team,MSC,0.0,15,17,,,,18,Japanese,-2
17,AlphaTauri,GAS,0.0,17,18,,,,18,Japanese,-1
18,Ferrari,SAI,0.0,3,19,,,,18,Japanese,-16
19,Williams,ALB,0.0,16,20,,,,18,Japanese,-4
0,Red Bull,VER,25.0,2,1,,,,19,United States,1
1,Mercedes,HAM,18.0,3,2,,,,19,United States,1
2,Ferrari,LEC,15.0,12,3,,,,19,United States,9
3,Red Bull,PER,12.0,9,4,,,,19,United States,5
4,Mercedes,RUS,11.0,4,5,,,,19,United States,-1
5,McLaren,NOR,8.0,6,6,,,,19,United States,0
6,Alpine F1 Team,ALO,6.0,14,7,,,,19,United States,7
7,Aston Martin,VET,4.0,10,8,,,,19,United States,2
8,Haas F1 Team,MAG,2.0,13,9,,,,19,United States,4
9,AlphaTauri,TSU,1.0,19,10,,,,19,United States,9
10,Alpine F1 Team,OCO,0.0,0,11,,,,19,United States,-11
11,Alfa Romeo,ZHO,0.0,18,12,,,,19,United States,6
12,Williams,ALB,0.0,8,13,,,,19,United States,-5
13,AlphaTauri,GAS,0.0,11,14,,,,19,United States,-3
14,Haas F1 Team,MSC,0.0,16,15,,,,19,United States,1
15,McLaren,RIC,0.0,15,16,,,,19,United States,-1
16,Williams,LAT,0.0,17,17,,,,19,United States,0
17,Aston Martin,STR,0.0,5,18,,,,19,United States,-13
18,Alfa Romeo,BOT,0.0,7,19,,,,19,United States,-12
19,Ferrari,SAI,0.0,1,20,,,,19,United States,-19
0,Red Bull,VER,25.0,1,1,,,,20,Mexico City,0
1,Mercedes,HAM,18.0,3,2,,,,20,Mexico City,1
2,Red Bull,PER,15.0,4,3,,,,20,Mexico City,1
3,Mercedes,RUS,13.0,2,4,,,,20,Mexico City,-2
4,Ferrari,SAI,10.0,5,5,,,,20,Mexico City,0
5,Ferrari,LEC,8.0,7,6,,,,20,Mexico City,1
6,McLaren,RIC,6.0,11,7,,,,20,Mexico City,4
7,Alpine F1 Team,OCO,4.0,10,8,,,,20,Mexico City,2
8,McLaren,NOR,2.0,8,9,,,,20,Mexico City,-1
9,Alfa Romeo,BOT,1.0,6,10,,,,20,Mexico City,-4
10,AlphaTauri,GAS,0.0,14,11,,,,20,Mexico City,3
11,Williams,ALB,0.0,17,12,,,,20,Mexico City,5
12,Alfa Romeo,ZHO,0.0,12,13,,,,20,Mexico City,-1
13,Aston Martin,VET,0.0,16,14,,,,20,Mexico City,2
14,Aston Martin,STR,0.0,20,15,,,,20,Mexico City,5
15,Haas F1 Team,MSC,0.0,15,16,,,,20,Mexico City,-1
16,Haas F1 Team,MAG,0.0,19,17,,,,20,Mexico City,2
17,Williams,LAT,0.0,18,18,,,,20,Mexico City,0
18,Alpine F1 Team,ALO,0.0,9,19,,,,20,Mexico City,-10
19,AlphaTauri,TSU,0.0,13,20,,,,20,Mexico City,-7
0,Mercedes,RUS,34.0,1,1,3.0,1.0,2.0,21,São Paulo,0
1,Mercedes,HAM,24.0,2,2,8.0,3.0,5.0,21,São Paulo,0
2,Ferrari,SAI,22.0,7,3,5.0,2.0,3.0,21,São Paulo,4
3,Ferrari,LEC,15.0,5,4,10.0,6.0,4.0,21,São Paulo,1
