,constructorName,driverCode,points,grid,position,grid_sprint,position_sprint,delta_sprint,round,race,delta
0,Ferrari,LEC,26.0,1,1,,,,1,Bahrain,0
1,Ferrari,SAI,18.0,3,2,,,,1,Bahrain,1
2,Mercedes,HAM,15.0,5,3,,,,1,Bahrain,2
3,Mercedes,RUS,12.0,9,4,,,,1,Bahrain,5
4,Haas F1 Team,MAG,10.0,7,5,,,,1,Bahrain,2
5,Alfa Romeo,BOT,8.0,6,6,,,,1,Bahrain,0
6,Alpine F1 Team,OCO,6.0,11,7,,,,1,Bahrain,4
7,AlphaTauri,TSU,4.0,16,8,,,,1,Bahrain,8
8,Alpine F1 Team,ALO,2.0,8,9,,,,1,Bahrain,-1
9,Alfa Romeo,ZHO,1.0,15,10,,,,1,Bahrain,5
10,Haas F1 Team,MSC,0.0,12,11,,,,1,Bahrain,1
11,Aston Martin,STR,0.0,19,12,,,,1,Bahrain,7
12,Williams,ALB,0.0,14,13,,,,1,Bahrain,1
13,McLaren,RIC,0.0,18,14,,,,1,Bahrain,4
14,McLaren,NOR,0.0,13,15,,,,1,Bahrain,-2
15,Williams,LAT,0.0,20,16,,,,1,Bahrain,4
16,Aston Martin,HUL,0.0,17,17,,,,1,Bahrain,0
17,Red Bull,PER,0.0,4,18,,,,1,Bahrain,-14
18,Red Bull,VER,0.0,2,19,,,,1,Bahrain,-17
19,AlphaTauri,GAS,0.0,10,20,,,,1,Bahrain,-10
0,Red Bull,VER,25.0,4,1,,,,2,Saudi Arabian,3
1,Ferrari,LEC,19.0,2,2,,,,2,Saudi Arabian,0
2,Ferrari,SAI,15.0,3,3,,,,2,Saudi Arabian,0
3,Red Bull,PER,12.0,1,4,,,,2,Saudi Arabian,-3
4,Mercedes,RUS,10.0,6,5,,,,2,Saudi Arabian,1
5,Alpine F1 Team,OCO,8.0,5,6,,,,2,Saudi Arabian,-1
6,McLaren,NOR,6.0,11,7,,,,2,Saudi Arabian,4
7,AlphaTauri,GAS,4.0,9,8,,,,2,Saudi Arabian,1
8,Haas F1 Team,MAG,2.0,10,9,,,,2,Saudi Arabian,1
9,Mercedes,HAM,1.0,15,10,,,,2,Saudi Arabian,5
10,Alfa Romeo,ZHO,0.0,12,11,,,,2,Saudi Arabian,1
11,Aston Martin,HUL,0.0,17,12,,,,2,Saudi Arabian,5
12,Aston Martin,STR,0.0,13,13,,,,2,Saudi Arabian,0
13,Williams,ALB,0.0,16,14,,,,2,Saudi Arabian,2
14,Alfa Romeo,BOT,0.0,8,15,,,,2,Saudi Arabian,-7
15,Alpine F1 Team,ALO,0.0,7,16,,,,2,Saudi Arabian,-9
16,McLaren,RIC,0.0,14,17,,,,2,Saudi Arabian,-3
17,Williams,LAT,0.0,18,18,,,,2,Saudi Arabian,0
18,AlphaTauri,TSU,0.0,19,19,,,,2,Saudi Arabian,0
19,Haas F1 Team,MSC,0.0,0,20,,,,2,Saudi Arabian,-20
0,Ferrari,LEC,26.0,1,1,,,,3,Australian,0
1,Red Bull,PER,18.0,3,2,,,,3,Australian,1
2,Mercedes,RUS,15.0,6,3,,,,3,Australian,3
3,Mercedes,HAM,12.0,5,4,,,,3,Australian,1
4,McLaren,NOR,10.0,4,5,,,,3,Australian,-1
5,McLaren,RIC,8.0,7,6,,,,3,Australian,1
6,Alpine F1 Team,OCO,6.0,8,7,,,,3,Australian,1
7,Alfa Romeo,BOT,4.0,12,8,,,,3,Australian,4
8,AlphaTauri,GAS,2.0,11,9,,,,3,Australian,2
9,Williams,ALB,1.0,20,10,,,,3,Australian,10
10,Alfa Romeo,ZHO,0.0,14,11,,,,3,Australian,3
11,Aston Martin,STR,0.0,19,12,,,,3,Australian,7
12,Haas F1 Team,MSC,0.0,15,13,,,,3,Australian,2
13,Haas F1 Team,MAG,0.0,16,14,,,,3,Australian,2
14,AlphaTauri,TSU,0.0,13,15,,,,3,Australian,-2
15,Williams,LAT,0.0,18,16,,,,3,Australian,2
16,Alpine F1 Team,ALO,0.0,10,17,,,,3,Australian,-7
17,Red Bull,VER,0.0,2,18,,,,3,Australian,-16
18,Aston Martin,VET,0.0,17,19,,,,3,Australian,-2
19,Ferrari,SAI,0.0,9,20,,,,3,Australian,-11
0,Red Bull,VER,34.0,1,1,1.0,1.0,0.0,4,Emilia Romagna,0
1,Red Bull,PER,24.0,3,2,7.0,3.0,4.0,4,Emilia Romagna,1
2,McLaren,NOR,19.0,5,3,3.0,5.0,-2.0,4,Emilia Romagna,2
3,Mercedes,RUS,12.0,11,4,11.0,11.0,0.0,4,Emilia Romagna,7
4,Alfa Romeo,BOT,12.0,7,5,8.0,7.0,1.0,4,Emilia Romagna,2
5,Ferrari,LEC,15.0,2,6,2.0,2.0,0.0,4,Emilia Romagna,-4
6,AlphaTauri,TSU,6.0,12,7,16.0,12.0,4.0,4,Emilia Romagna,5
7,Aston Martin,VET,4.0,13,8,9.0,13.0,-4.0,4,Emilia Romagna,5
8,Haas F1 Team,MAG,3.0,8,9,4.0,8.0,-4.0,4,Emilia Romagna,-1
9,Aston Martin,STR,1.0,15,10,15.0,15.0,0.0,4,Emilia Romagna,5
10,Williams,ALB,0.0,18,11,20.0,18.0,2.0,4,Emilia Romagna,7
11,AlphaTauri,GAS,0.0,17,12,17.0,17.0,0.0,4,Emilia Romagna,5
12,Mercedes,HAM,0.0,14,13,13.0,14.0,-1.0,4,Emilia Romagna,1
13,Alpine F1 Team,OCO,0.0,16,14,19.0,16.0,3.0,4,Emilia Romagna,2
14,Alfa Romeo,ZHO,0.0,0,15,0.0,20.0,-20.0,4,Emilia Romagna,-15
15,Williams,LAT,0.0,19,16,18.0,19.0,-1.0,4,Emilia Romagna,3
16,Haas F1 Team,MSC,0.0,10,17,12.0,10.0,2.0,4,Emilia Romagna,-7
17,McLaren,RIC,3.0,6,18,6.0,6.0,0.0,4,Emilia Romagna,-12
18,Alpine F1 Team,ALO,0.0,9,19,5.0,9.0,-4.0,4,Emilia Romagna,-10
19,Ferrari,SAI,5.0,4,20,10.0,4.0,6.0,4,Emilia Romagna,-16
0,Red Bull,VER,26.0,3,1,,,,5,Miami,2
1,Ferrari,LEC,18.0,1,2,,,,5,Miami,-1
2,Ferrari,SAI,15.0,2,3,,,,5,Miami,-1
3,Red Bull,PER,12.0,4,4,,,,5,Miami,0
4,Mercedes,RUS,10.0,12,5,,,,5,Miami,7
5,Mercedes,HAM,8.0,6,6,,,,5,Miami,0
6,Alfa Romeo,BOT,6.0,5,7,,,,5,Miami,-2
7,Alpine F1 Team,OCO,4.0,20,8,,,,5,Miami,12
8,Williams,ALB,2.0,18,9,,,,5,Miami,9
9,Aston Martin,STR,1.0,0,10,,,,5,Miami,-10
10,Alpine F1 Team,ALO,0.0,11,11,,,,5,Miami,0
11,AlphaTauri,TSU,0.0,9,12,,,,5,Miami,-3
12,McLaren,RIC,0.0,14,13,,,,5,Miami,1
13,Williams,LAT,0.0,19,14,,,,5,Miami,5
14,Haas F1 Team,MSC,0.0,15,15,,,,5,Miami,0
15,Haas F1 Team,MAG,0.0,16,16,,,,5,Miami,0
16,Aston Martin,VET,0.0,0,17,,,,5,Miami,-17
17,AlphaTauri,GAS,0.0,7,18,,,,5,Miami,-11
18,McLaren,NOR,0.0,8,19,,,,5,Miami,-11
19,Alfa Romeo,ZHO,0.0,17,20,,,,5,Miami,-3
0,Red Bull,VER,25.0,2,1,,,,6,Spanish,1
1,Red Bull,PER,19.0,5,2,,,,6,Spanish,3
2,Mercedes,RUS,15.0,4,3,,,,6,Spanish,1
3,Ferrari,SAI,12.0,3,4,,,,6,Spanish,-1
4,Mercedes,HAM,10.0,6,5,,,,6,Spanish,1
5,Alfa Romeo,BOT,8.0,7,6,,,,6,Spanish,1
6,Alpine F1 Team,OCO,6.0,12,7,,,,6,Spanish,5
7,McLaren,NOR,4.0,11,8,,,,6,Spanish,3
8,Alpine F1 Team,ALO,2.0,20,9,,,,6,Spanish,11
9,AlphaTauri,TSU,1.0,13,10,,,,6,Spanish,3
10,Aston Martin,VET,0.0,16,11,,,,6,Spanish,5
11,McLaren,RIC,0.0,9,12,,,,6,Spanish,-3
12,AlphaTauri,GAS,0.0,14,13,,,,6,Spanish,1
13,Haas F1 Team,MSC,0.0,10,14,,,,6,Spanish,-4
14,Aston Martin,STR,0.0,17,15,,,,6,Spanish,2
15,Williams,LAT,0.0,19,16,,,,6,Spanish,3
16,Haas F1 Team,MAG,0.0,8,17,,,,6,Spanish,-9
17,Williams,ALB,0.0,18,18,,,,6,Spanish,0
18,Alfa Romeo,ZHO,0.0,15,19,,,,6,Spanish,-4
19,Ferrari,LEC,0.0,1,20,,,,6,Spanish,-19
0,Red Bull,PER,25.0,3,1,,,,7,Monaco,2
1,Ferrari,SAI,18.0,2,2,,,,7,Monaco,0
2,Red Bull,VER,15.0,4,3,,,,7,Monaco,1
3,Ferrari,LEC,12.0,1,4,,,,7,Monaco,-3
4,Mercedes,RUS,10.0,6,5,,,,7,Monaco,1
5,McLaren,NOR,9.0,5,6,,,,7,Monaco,-1
6,Alpine F1 Team,ALO,6.0,7,7,,,,7,Monaco,0
7,Mercedes,HAM,4.0,8,8,,,,7,Monaco,0
8,Alfa Romeo,BOT,2.0,12,9,,,,7,Monaco,3
9,Aston Martin,VET,1.0,9,10,,,,7,Monaco,-1
10,AlphaTauri,GAS,0.0,17,11,,,,7,Monaco,6
11,Alpine F1 Team,OCO,0.0,10,12,,,,7,Monaco,-2
12,McLaren,RIC,0.0,14,13,,,,7,Monaco,1
13,Aston Martin,STR,0.0,18,14,,,,7,Monaco,4
14,Williams,LAT,0.0,19,15,,,,7,Monaco,4
15,Alfa Romeo,ZHO,0.0,20,16,,,,7,Monaco,4
16,AlphaTauri,TSU,0.0,11,17,,,,7,Monaco,-6
17,Williams,ALB,0.0,16,18,,,,7,Monaco,-2
18,Haas F1 Team,MSC,0.0,15,19,,,,7,Monaco,-4
19,Haas F1 Team,MAG,0.0,13,20,,,,7,Monaco,-7
0,Red Bull,VER,25.0,3,1,,,,8,Azerbaijan,2
1,Red Bull,PER,19.0,2,2,,,,8,Azerbaijan,0
2,Mercedes,RUS,15.0,5,3,,,,8,Azerbaijan,2
3,Mercedes,HAM,12.0,7,4,,,,8,Azerbaijan,3
4,AlphaTauri,GAS,10.0,6,5,,,,8,Azerbaijan,1
5,Aston Martin,VET,8.0,9,6,,,,8,Azerbaijan,3
6,Alpine F1 Team,ALO,6.0,10,7,,,,8,Azerbaijan,3
7,McLaren,RIC,4.0,12,8,,,,8,Azerbaijan,4
8,McLaren,NOR,2.0,11,9,,,,8,Azerbaijan,2
9,Alpine F1 Team,OCO,1.0,13,10,,,,8,Azerbaijan,3
10,Alfa Romeo,BOT,0.0,15,11,,,,8,Azerbaijan,4
11,Williams,ALB,0.0,17,12,,,,8,Azerbaijan,5
12,AlphaTauri,TSU,0.0,8,13,,,,8,Azerbaijan,-5
13,Haas F1 Team,MSC,0.0,20,14,,,,8,Azerbaijan,6
14,Williams,LAT,0.0,18,15,,,,8,Azerbaijan,3
15,Aston Martin,STR,0.0,19,16,,,,8,Azerbaijan,3
16,Haas F1 Team,MAG,0.0,16,17,,,,8,Azerbaijan,-1
17,Alfa Romeo,ZHO,0.0,14,18,,,,8,Azerbaijan,-4
18,Ferrari,LEC,0.0,1,19,,,,8,Azerbaijan,-18
19,Ferrari,SAI,0.0,4,20,,,,8,Azerbaijan,-16
0,Red Bull,VER,25.0,1,1,,,,9,Canadian,0
1,Ferrari,SAI,19.0,3,2,,,,9,Canadian,1
2,Mercedes,HAM,15.0,4,3,,,,9,Canadian,1
3,Mercedes,RUS,12.0,8,4,,,,9,Canadian,4
4,Ferrari,LEC,10.0,19,5,,,,9,Canadian,14
5,Alpine F1 Team,OCO,8.0,7,6,,,,9,Canadian,1
6,Alfa Romeo,BOT,6.0,11,7,,,,9,Canadian,4
7,Alfa Romeo,ZHO,4.0,10,8,,,,9,Canadian,2
8,Alpine F1 Team,ALO,2.0,2,9,,,,9,Canadian,-7
9,Aston Martin,STR,1.0,17,10,,,,9,Canadian,7
10,McLaren,RIC,0.0,9,11,,,,9,Canadian,-2
11,Aston Martin,VET,0.0,16,12,,,,9,Canadian,4
12,Williams,ALB,0.0,12,13,,,,9,Canadian,-1
13,AlphaTauri,GAS,0.0,15,14,,,,9,Canadian,1
14,McLaren,NOR,0.0,14,15,,,,9,Canadian,-1
15,Williams,LAT,0.0,18,16,,,,9,Canadian,2
16,Haas F1 Team,MAG,0.0,5,17,,,,9,Canadian,-12
17,AlphaTauri,TSU,0.0,20,18,,,,9,Canadian,2
18,Haas F1 Team,MSC,0.0,6,19,,,,9,Canadian,-13
19,Red Bull,PER,0.0,13,20,,,,9,Canadian,-7
0,Ferrari,SAI,25.0,1,1,,,,10,British,0
1,Red Bull,PER,18.0,4,2,,,,10,British,2
2,Mercedes,HAM,16.0,5,3,,,,10,British,2
3,Ferrari,LEC,12.0,3,4,,,,10,British,-1
4,Alpine F1 Team,ALO,10.0,7,5,,,,10,British,2
5,McLaren,NOR,8.0,6,6,,,,10,British,0
6,Red Bull,VER,6.0,2,7,,,,10,British,-5
7,Haas F1 Team,MSC,4.0,19,8,,,,10,British,11
8,Aston Martin,VET,2.0,18,9,,,,10,British,9
9,Haas F1 Team,MAG,1.0,17,10,,,,10,British,7
10,Aston Martin,STR,0.0,20,11,,,,10,British,9
11,Williams,LAT,0.0,10,12,,,,10,British,-2
12,McLaren,RIC,0.0,14,13,,,,10,British,1
13,AlphaTauri,TSU,0.0,13,14,,,,10,British,-1
14,Alpine F1 Team,OCO,0.0,15,15,,,,10,British,0
15,AlphaTauri,GAS,0.0,11,16,,,,10,British,-5
16,Alfa Romeo,BOT,0.0,12,17,,,,10,British,-5
17,Mercedes,RUS,0.0,8,18,,,,10,British,-10
18,Alfa Romeo,ZHO,0.0,9,19,,,,10,British,-10
