,constructorName,driverCode,points,grid,position,grid_sprint,position_sprint,delta_sprint,round,race,delta
0,Mercedes,BOT,26.0,2,1,,,,1,Australian,1
1,Mercedes,HAM,18.0,1,2,,,,1,Australian,-1
2,Red Bull,VER,15.0,4,3,,,,1,Australian,1
3,Ferrari,VET,12.0,3,4,,,,1,Australian,-1
4,Ferrari,LEC,10.0,5,5,,,,1,Australian,0
5,Haas F1 Team,MAG,8.0,7,6,,,,1,Australian,1
6,Renault,HUL,6.0,11,7,,,,1,Australian,4
7,Alfa Romeo,RAI,4.0,9,8,,,,1,Australian,1
8,Racing Point,STR,2.0,16,9,,,,1,Australian,7
9,Toro Rosso,KVY,1.0,15,10,,,,1,Australian,5
10,Red Bull,GAS,0.0,17,11,,,,1,Australian,6
11,McLaren,NOR,0.0,8,12,,,,1,Australian,-4
12,Racing Point,PER,0.0,10,13,,,,1,Australian,-3
13,Toro Rosso,ALB,0.0,13,14,,,,1,Australian,-1
14,Alfa Romeo,GIO,0.0,14,15,,,,1,Australian,-1
15,Williams,RUS,0.0,19,16,,,,1,Australian,3
16,Williams,KUB,0.0,20,17,,,,1,Australian,3
17,Haas F1 Team,GRO,0.0,6,18,,,,1,Australian,-12
18,Renault,RIC,0.0,12,19,,,,1,Australian,-7
19,McLaren,SAI,0.0,18,20,,,,1,Australian,-2
0,Mercedes,HAM,25.0,3,1,,,,2,Bahrain,2
1,Mercedes,BOT,18.0,4,2,,,,2,Bahrain,2
2,Ferrari,LEC,16.0,1,3,,,,2,Bahrain,-2
3,Red Bull,VER,12.0,5,4,,,,2,Bahrain,1
4,Ferrari,VET,10.0,2,5,,,,2,Bahrain,-3
5,McLaren,NOR,8.0,9,6,,,,2,Bahrain,3
6,Alfa Romeo,RAI,6.0,8,7,,,,2,Bahrain,1
7,Red Bull,GAS,4.0,13,8,,,,2,Bahrain,5
8,Toro Rosso,ALB,2.0,12,9,,,,2,Bahrain,3
9,Racing Point,PER,1.0,14,10,,,,2,Bahrain,4
10,Alfa Romeo,GIO,0.0,16,11,,,,2,Bahrain,5
11,Toro Rosso,KVY,0.0,15,12,,,,2,Bahrain,3
12,Haas F1 Team,MAG,0.0,6,13,,,,2,Bahrain,-7
13,Racing Point,STR,0.0,18,14,,,,2,Bahrain,4
14,Williams,RUS,0.0,19,15,,,,2,Bahrain,4
15,Williams,KUB,0.0,20,16,,,,2,Bahrain,4
