,constructorName,driverCode,points,grid,position,grid_sprint,position_sprint,delta_sprint,round,race,delta
16,Renault,HUL,0.0,17,17,,,,2,Bahrain,0
17,Renault,RIC,0.0,10,18,,,,2,Bahrain,-8
18,McLaren,SAI,0.0,7,19,,,,2,Bahrain,-12
19,Haas F1 Team,GRO,0.0,11,20,,,,2,Bahrain,-9
0,Mercedes,HAM,25.0,2,1,,,,3,Chinese,1
1,Mercedes,BOT,18.0,1,2,,,,3,Chinese,-1
2,Ferrari,VET,15.0,3,3,,,,3,Chinese,0
3,Red Bull,VER,12.0,5,4,,,,3,Chinese,1
4,Ferrari,LEC,10.0,4,5,,,,3,Chinese,-1
5,Red Bull,GAS,9.0,6,6,,,,3,Chinese,0
6,Renault,RIC,6.0,7,7,,,,3,Chinese,0
7,Racing Point,PER,4.0,12,8,,,,3,Chinese,4
8,Alfa Romeo,RAI,2.0,13,9,,,,3,Chinese,4
9,Toro Rosso,ALB,1.0,0,10,,,,3,Chinese,-10
10,Haas F1 Team,GRO,0.0,10,11,,,,3,Chinese,-1
11,Racing Point,STR,0.0,16,12,,,,3,Chinese,4
12,Haas F1 Team,MAG,0.0,9,13,,,,3,Chinese,-4
13,McLaren,SAI,0.0,14,14,,,,3,Chinese,0
14,Alfa Romeo,GIO,0.0,19,15,,,,3,Chinese,4
15,Williams,RUS,0.0,17,16,,,,3,Chinese,1
16,Williams,KUB,0.0,18,17,,,,3,Chinese,1
17,McLaren,NOR,0.0,15,18,,,,3,Chinese,-3
18,Toro Rosso,KVY,0.0,11,19,,,,3,Chinese,-8
19,Renault,HUL,0.0,8,20,,,,3,Chinese,-12
0,Mercedes,BOT,25.0,1,1,,,,4,Azerbaijan,0
1,Mercedes,HAM,18.0,2,2,,,,4,Azerbaijan,0
2,Ferrari,VET,15.0,3,3,,,,4,Azerbaijan,0
3,Red Bull,VER,12.0,4,4,,,,4,Azerbaijan,0
4,Ferrari,LEC,11.0,8,5,,,,4,Azerbaijan,3
5,Racing Point,PER,8.0,5,6,,,,4,Azerbaijan,-1
6,McLaren,SAI,6.0,9,7,,,,4,Azerbaijan,2
7,McLaren,NOR,4.0,7,8,,,,4,Azerbaijan,-1
8,Racing Point,STR,2.0,13,9,,,,4,Azerbaijan,4
9,Alfa Romeo,RAI,1.0,0,10,,,,4,Azerbaijan,-10
10,Toro Rosso,ALB,0.0,11,11,,,,4,Azerbaijan,0
11,Alfa Romeo,GIO,0.0,17,12,,,,4,Azerbaijan,5
12,Haas F1 Team,MAG,0.0,12,13,,,,4,Azerbaijan,-1
13,Renault,HUL,0.0,15,14,,,,4,Azerbaijan,1
14,Williams,RUS,0.0,16,15,,,,4,Azerbaijan,1
15,Williams,KUB,0.0,0,16,,,,4,Azerbaijan,-16
16,Red Bull,GAS,0.0,0,17,,,,4,Azerbaijan,-17
17,Haas F1 Team,GRO,0.0,14,18,,,,4,Azerbaijan,-4
18,Toro Rosso,KVY,0.0,6,19,,,,4,Azerbaijan,-13
19,Renault,RIC,0.0,10,20,,,,4,Azerbaijan,-10
0,Mercedes,HAM,26.0,2,1,,,,5,Spanish,1
1,Mercedes,BOT,18.0,1,2,,,,5,Spanish,-1
2,Red Bull,VER,15.0,4,3,,,,5,Spanish,1
3,Ferrari,VET,12.0,3,4,,,,5,Spanish,-1
4,Ferrari,LEC,10.0,5,5,,,,5,Spanish,0
5,Red Bull,GAS,8.0,6,6,,,,5,Spanish,0
6,Haas F1 Team,MAG,6.0,8,7,,,,5,Spanish,1
7,McLaren,SAI,4.0,12,8,,,,5,Spanish,4
8,Toro Rosso,KVY,2.0,9,9,,,,5,Spanish,0
9,Haas F1 Team,GRO,1.0,7,10,,,,5,Spanish,-3
10,Toro Rosso,ALB,0.0,11,11,,,,5,Spanish,0
11,Renault,RIC,0.0,13,12,,,,5,Spanish,1
12,Renault,HUL,0.0,0,13,,,,5,Spanish,-13
13,Alfa Romeo,RAI,0.0,14,14,,,,5,Spanish,0
14,Racing Point,PER,0.0,15,15,,,,5,Spanish,0
15,Alfa Romeo,GIO,0.0,18,16,,,,5,Spanish,2
16,Williams,RUS,0.0,19,17,,,,5,Spanish,2
17,Williams,KUB,0.0,17,18,,,,5,Spanish,-1
18,Racing Point,STR,0.0,16,19,,,,5,Spanish,-3
19,McLaren,NOR,0.0,10,20,,,,5,Spanish,-10
0,Mercedes,HAM,25.0,1,1,,,,6,Monaco,0
1,Ferrari,VET,18.0,4,2,,,,6,Monaco,2
2,Mercedes,BOT,15.0,2,3,,,,6,Monaco,-1
3,Red Bull,VER,12.0,3,4,,,,6,Monaco,-1
4,Red Bull,GAS,11.0,8,5,,,,6,Monaco,3
5,McLaren,SAI,8.0,9,6,,,,6,Monaco,3
6,Toro Rosso,KVY,6.0,7,7,,,,6,Monaco,0
7,Toro Rosso,ALB,4.0,10,8,,,,6,Monaco,2
8,Renault,RIC,2.0,6,9,,,,6,Monaco,-3
9,Haas F1 Team,GRO,1.0,13,10,,,,6,Monaco,3
10,McLaren,NOR,0.0,12,11,,,,6,Monaco,1
11,Racing Point,PER,0.0,16,12,,,,6,Monaco,4
12,Renault,HUL,0.0,11,13,,,,6,Monaco,-2
13,Haas F1 Team,MAG,0.0,5,14,,,,6,Monaco,-9
14,Williams,RUS,0.0,19,15,,,,6,Monaco,4
15,Racing Point,STR,0.0,17,16,,,,6,Monaco,1
16,Alfa Romeo,RAI,0.0,14,17,,,,6,Monaco,-3
17,Williams,KUB,0.0,20,18,,,,6,Monaco,2
18,Alfa Romeo,GIO,0.0,18,19,,,,6,Monaco,-1
19,Ferrari,LEC,0.0,15,20,,,,6,Monaco,-5
0,Mercedes,HAM,25.0,2,1,,,,7,Canadian,1
1,Ferrari,VET,18.0,1,2,,,,7,Canadian,-1
2,Ferrari,LEC,15.0,3,3,,,,7,Canadian,0
3,Mercedes,BOT,13.0,6,4,,,,7,Canadian,2
4,Red Bull,VER,10.0,9,5,,,,7,Canadian,4
5,Renault,RIC,8.0,4,6,,,,7,Canadian,-2
6,Renault,HUL,6.0,7,7,,,,7,Canadian,0
7,Red Bull,GAS,4.0,5,8,,,,7,Canadian,-3
8,Racing Point,STR,2.0,17,9,,,,7,Canadian,8
9,Toro Rosso,KVY,1.0,10,10,,,,7,Canadian,0
10,McLaren,SAI,0.0,11,11,,,,7,Canadian,0
11,Racing Point,PER,0.0,15,12,,,,7,Canadian,3
12,Alfa Romeo,GIO,0.0,12,13,,,,7,Canadian,-1
13,Haas F1 Team,GRO,0.0,14,14,,,,7,Canadian,0
14,Alfa Romeo,RAI,0.0,16,15,,,,7,Canadian,1
15,Williams,RUS,0.0,18,16,,,,7,Canadian,2
16,Haas F1 Team,MAG,0.0,0,17,,,,7,Canadian,-17
17,Williams,KUB,0.0,19,18,,,,7,Canadian,1
18,Toro Rosso,ALB,0.0,13,19,,,,7,Canadian,-6
19,McLaren,NOR,0.0,8,20,,,,7,Canadian,-12
0,Mercedes,HAM,25.0,1,1,,,,8,French,0
1,Mercedes,BOT,18.0,2,2,,,,8,French,0
2,Ferrari,LEC,15.0,3,3,,,,8,French,0
3,Red Bull,VER,12.0,4,4,,,,8,French,0
4,Ferrari,VET,11.0,7,5,,,,8,French,2
5,McLaren,SAI,8.0,6,6,,,,8,French,0
6,Alfa Romeo,RAI,6.0,12,7,,,,8,French,5
7,Renault,HUL,4.0,13,8,,,,8,French,5
8,McLaren,NOR,2.0,5,9,,,,8,French,-4
9,Red Bull,GAS,1.0,9,10,,,,8,French,-1
10,Renault,RIC,0.0,8,11,,,,8,French,-3
11,Racing Point,PER,0.0,14,12,,,,8,French,2
12,Racing Point,STR,0.0,17,13,,,,8,French,4
13,Toro Rosso,KVY,0.0,19,14,,,,8,French,5
14,Toro Rosso,ALB,0.0,11,15,,,,8,French,-4
15,Alfa Romeo,GIO,0.0,10,16,,,,8,French,-6
16,Haas F1 Team,MAG,0.0,15,17,,,,8,French,-2
17,Williams,KUB,0.0,18,18,,,,8,French,0
18,Williams,RUS,0.0,20,19,,,,8,French,1
19,Haas F1 Team,GRO,0.0,16,20,,,,8,French,-4
0,Red Bull,VER,26.0,2,1,,,,9,Austrian,1
1,Ferrari,LEC,18.0,1,2,,,,9,Austrian,-1
2,Mercedes,BOT,15.0,3,3,,,,9,Austrian,0
3,Ferrari,VET,12.0,9,4,,,,9,Austrian,5
4,Mercedes,HAM,10.0,4,5,,,,9,Austrian,-1
5,McLaren,NOR,8.0,5,6,,,,9,Austrian,-1
6,Red Bull,GAS,6.0,8,7,,,,9,Austrian,1
7,McLaren,SAI,4.0,19,8,,,,9,Austrian,11
8,Alfa Romeo,RAI,2.0,6,9,,,,9,Austrian,-3
9,Alfa Romeo,GIO,1.0,7,10,,,,9,Austrian,-3
10,Racing Point,PER,0.0,13,11,,,,9,Austrian,2
11,Renault,RIC,0.0,12,12,,,,9,Austrian,0
12,Renault,HUL,0.0,15,13,,,,9,Austrian,2
13,Racing Point,STR,0.0,14,14,,,,9,Austrian,0
14,Toro Rosso,ALB,0.0,18,15,,,,9,Austrian,3
15,Haas F1 Team,GRO,0.0,11,16,,,,9,Austrian,-5
16,Toro Rosso,KVY,0.0,16,17,,,,9,Austrian,-1
17,Williams,RUS,0.0,0,18,,,,9,Austrian,-18
18,Haas F1 Team,MAG,0.0,10,19,,,,9,Austrian,-9
19,Williams,KUB,0.0,17,20,,,,9,Austrian,-3
0,Mercedes,HAM,26.0,2,1,,,,10,British,1
1,Mercedes,BOT,18.0,1,2,,,,10,British,-1
2,Ferrari,LEC,15.0,3,3,,,,10,British,0
3,Red Bull,GAS,12.0,5,4,,,,10,British,1
4,Red Bull,VER,10.0,4,5,,,,10,British,-1
5,McLaren,SAI,8.0,13,6,,,,10,British,7
6,Renault,RIC,6.0,7,7,,,,10,British,0
7,Alfa Romeo,RAI,4.0,12,8,,,,10,British,4
8,Toro Rosso,KVY,2.0,17,9,,,,10,British,8
9,Renault,HUL,1.0,10,10,,,,10,British,0
10,McLaren,NOR,0.0,8,11,,,,10,British,-3
11,Toro Rosso,ALB,0.0,9,12,,,,10,British,-3
12,Racing Point,STR,0.0,18,13,,,,10,British,5
13,Williams,RUS,0.0,19,14,,,,10,British,5
14,Williams,KUB,0.0,20,15,,,,10,British,5
15,Ferrari,VET,0.0,6,16,,,,10,British,-10
16,Racing Point,PER,0.0,15,17,,,,10,British,-2
17,Alfa Romeo,GIO,0.0,11,18,,,,10,British,-7
18,Haas F1 Team,GRO,0.0,14,19,,,,10,British,-5
19,Haas F1 Team,MAG,0.0,16,20,,,,10,British,-4
0,Red Bull,VER,26.0,2,1,,,,11,German,1
1,Ferrari,VET,18.0,20,2,,,,11,German,18
2,Toro Rosso,KVY,15.0,14,3,,,,11,German,11
3,Racing Point,STR,12.0,15,4,,,,11,German,11
4,McLaren,SAI,10.0,7,5,,,,11,German,2
5,Toro Rosso,ALB,8.0,16,6,,,,11,German,10
6,Haas F1 Team,GRO,6.0,6,7,,,,11,German,-1
7,Haas F1 Team,MAG,4.0,12,8,,,,11,German,4
8,Mercedes,HAM,2.0,1,9,,,,11,German,-8
9,Williams,KUB,1.0,18,10,,,,11,German,8
10,Williams,RUS,0.0,17,11,,,,11,German,6
11,Alfa Romeo,RAI,0.0,5,12,,,,11,German,-7
12,Alfa Romeo,GIO,0.0,11,13,,,,11,German,-2
13,Red Bull,GAS,0.0,4,14,,,,11,German,-10
14,Mercedes,BOT,0.0,3,15,,,,11,German,-12
15,Renault,HUL,0.0,9,16,,,,11,German,-7
16,Ferrari,LEC,0.0,10,17,,,,11,German,-7
17,McLaren,NOR,0.0,19,18,,,,11,German,1
18,Renault,RIC,0.0,13,19,,,,11,German,-6
19,Racing Point,PER,0.0,8,20,,,,11,German,-12
0,Mercedes,HAM,25.0,3,1,,,,12,Hungarian,2
1,Red Bull,VER,19.0,1,2,,,,12,Hungarian,-1
2,Ferrari,VET,15.0,5,3,,,,12,Hungarian,2
3,Ferrari,LEC,12.0,4,4,,,,12,Hungarian,0
4,McLaren,SAI,10.0,8,5,,,,12,Hungarian,3
5,Red Bull,GAS,8.0,6,6,,,,12,Hungarian,0
6,Alfa Romeo,RAI,6.0,10,7,,,,12,Hungarian,3
7,Mercedes,BOT,4.0,2,8,,,,12,Hungarian,-6
8,McLaren,NOR,2.0,7,9,,,,12,Hungarian,-2
9,Toro Rosso,ALB,1.0,12,10,,,,12,Hungarian,2
10,Racing Point,PER,0.0,16,11,,,,12,Hungarian,5
11,Renault,HUL,0.0,11,12,,,,12,Hungarian,-1
12,Haas F1 Team,MAG,0.0,14,13,,,,12,Hungarian,1
13,Renault,RIC,0.0,20,14,,,,12,Hungarian,6
14,Toro Rosso,KVY,0.0,13,15,,,,12,Hungarian,-2
15,Williams,RUS,0.0,15,16,,,,12,Hungarian,-1
16,Racing Point,STR,0.0,18,17,,,,12,Hungarian,1
17,Alfa Romeo,GIO,0.0,17,18,,,,12,Hungarian,-1
18,Williams,KUB,0.0,19,19,,,,12,Hungarian,0
19,Haas F1 Team,GRO,0.0,9,20,,,,12,Hungarian,-11
0,Ferrari,LEC,25.0,1,1,,,,13,Belgian,0
1,Mercedes,HAM,18.0,3,2,,,,13,Belgian,1
2,Mercedes,BOT,15.0,4,3,,,,13,Belgian,1
3,Ferrari,VET,13.0,2,4,,,,13,Belgian,-2
4,Red Bull,ALB,10.0,17,5,,,,13,Belgian,12
5,Racing Point,PER,8.0,7,6,,,,13,Belgian,1
6,Toro Rosso,KVY,6.0,19,7,,,,13,Belgian,12
7,Renault,HUL,4.0,12,8,,,,13,Belgian,4
8,Toro Rosso,GAS,2.0,13,9,,,,13,Belgian,4
9,Racing Point,STR,1.0,16,10,,,,13,Belgian,6
10,McLaren,NOR,0.0,11,11,,,,13,Belgian,0
11,Haas F1 Team,MAG,0.0,8,12,,,,13,Belgian,-4
12,Haas F1 Team,GRO,0.0,9,13,,,,13,Belgian,-4
13,Renault,RIC,0.0,10,14,,,,13,Belgian,-4
14,Williams,RUS,0.0,14,15,,,,13,Belgian,-1
15,Alfa Romeo,RAI,0.0,6,16,,,,13,Belgian,-10
16,Williams,KUB,0.0,0,17,,,,13,Belgian,-17
17,Alfa Romeo,GIO,0.0,18,18,,,,13,Belgian,0
18,McLaren,SAI,0.0,15,19,,,,13,Belgian,-4
19,Red Bull,VER,0.0,5,20,,,,13,Belgian,-15
0,Ferrari,LEC,25.0,1,1,,,,14,Italian,0
1,Mercedes,BOT,18.0,3,2,,,,14,Italian,1
2,Mercedes,HAM,16.0,2,3,,,,14,Italian,-1
3,Renault,RIC,12.0,5,4,,,,14,Italian,1
4,Renault,HUL,10.0,6,5,,,,14,Italian,1
5,Red Bull,ALB,8.0,8,6,,,,14,Italian,2
6,Racing Point,PER,6.0,18,7,,,,14,Italian,11
7,Red Bull,VER,4.0,19,8,,,,14,Italian,11
8,Alfa Romeo,GIO,2.0,10,9,,,,14,Italian,1
9,McLaren,NOR,1.0,16,10,,,,14,Italian,6
10,Toro Rosso,GAS,0.0,17,11,,,,14,Italian,6
11,Racing Point,STR,0.0,9,12,,,,14,Italian,-3
12,Ferrari,VET,0.0,4,13,,,,14,Italian,-9
13,Williams,RUS,0.0,14,14,,,,14,Italian,0
14,Alfa Romeo,RAI,0.0,0,15,,,,14,Italian,-15
15,Haas F1 Team,GRO,0.0,13,16,,,,14,Italian,-3
16,Williams,KUB,0.0,15,17,,,,14,Italian,-2
17,Haas F1 Team,MAG,0.0,11,18,,,,14,Italian,-7
18,Toro Rosso,KVY,0.0,12,19,,,,14,Italian,-7
19,McLaren,SAI,0.0,7,20,,,,14,Italian,-13
0,Ferrari,VET,25.0,3,1,,,,15,Singapore,2
1,Ferrari,LEC,18.0,1,2,,,,15,Singapore,-1
2,Red Bull,VER,15.0,4,3,,,,15,Singapore,1
3,Mercedes,HAM,12.0,2,4,,,,15,Singapore,-2
4,Mercedes,BOT,10.0,5,5,,,,15,Singapore,0
5,Red Bull,ALB,8.0,6,6,,,,15,Singapore,0
6,McLaren,NOR,6.0,9,7,,,,15,Singapore,2
7,Toro Rosso,GAS,4.0,11,8,,,,15,Singapore,3
8,Renault,HUL,2.0,8,9,,,,15,Singapore,-1
9,Alfa Romeo,GIO,1.0,10,10,,,,15,Singapore,0
10,Haas F1 Team,GRO,0.0,17,11,,,,15,Singapore,6
11,McLaren,SAI,0.0,7,12,,,,15,Singapore,-5
12,Racing Point,STR,0.0,16,13,,,,15,Singapore,3
13,Renault,RIC,0.0,20,14,,,,15,Singapore,6
14,Toro Rosso,KVY,0.0,14,15,,,,15,Singapore,-1
15,Williams,KUB,0.0,19,16,,,,15,Singapore,3
16,Haas F1 Team,MAG,0.0,13,17,,,,15,Singapore,-4
17,Alfa Romeo,RAI,0.0,12,18,,,,15,Singapore,-6
18,Racing Point,PER,0.0,15,19,,,,15,Singapore,-4
19,Williams,RUS,0.0,18,20,,,,15,Singapore,-2
0,Mercedes,HAM,26.0,2,1,,,,16,Russian,1
1,Mercedes,BOT,18.0,4,2,,,,16,Russian,2
2,Ferrari,LEC,15.0,1,3,,,,16,Russian,-2
3,Red Bull,VER,12.0,9,4,,,,16,Russian,5
4,Red Bull,ALB,10.0,0,5,,,,16,Russian,-5
5,McLaren,SAI,8.0,5,6,,,,16,Russian,-1
6,Racing Point,PER,6.0,11,7,,,,16,Russian,4
7,McLaren,NOR,4.0,7,8,,,,16,Russian,-1
8,Haas F1 Team,MAG,2.0,13,9,,,,16,Russian,4
9,Renault,HUL,1.0,6,10,,,,16,Russian,-4
10,Racing Point,STR,0.0,14,11,,,,16,Russian,3
11,Toro Rosso,KVY,0.0,19,12,,,,16,Russian,7
12,Alfa Romeo,RAI,0.0,15,13,,,,16,Russian,2
13,Toro Rosso,GAS,0.0,16,14,,,,16,Russian,2
14,Alfa Romeo,GIO,0.0,12,15,,,,16,Russian,-3
15,Williams,KUB,0.0,18,16,,,,16,Russian,2
16,Williams,RUS,0.0,17,17,,,,16,Russian,0
17,Ferrari,VET,0.0,3,18,,,,16,Russian,-15
18,Renault,RIC,0.0,10,19,,,,16,Russian,-9
19,Haas F1 Team,GRO,0.0,8,20,,,,16,Russian,-12
0,Mercedes,BOT,25.0,3,1,,,,17,Japanese,2
1,Ferrari,VET,18.0,1,2,,,,17,Japanese,-1
2,Mercedes,HAM,16.0,4,3,,,,17,Japanese,1
3,Red Bull,ALB,12.0,6,4,,,,17,Japanese,2
4,McLaren,SAI,10.0,7,5,,,,17,Japanese,2
5,Ferrari,LEC,8.0,2,6,,,,17,Japanese,-4
6,Toro Rosso,GAS,6.0,9,7,,,,17,Japanese,2
7,Racing Point,PER,4.0,17,8,,,,17,Japanese,9
8,Racing Point,STR,2.0,12,9,,,,17,Japanese,3
9,Toro Rosso,KVY,1.0,14,10,,,,17,Japanese,4
10,McLaren,NOR,0.0,8,11,,,,17,Japanese,-3
11,Alfa Romeo,RAI,0.0,13,12,,,,17,Japanese,1
12,Haas F1 Team,GRO,0.0,10,13,,,,17,Japanese,-3
13,Alfa Romeo,GIO,0.0,11,14,,,,17,Japanese,-3
14,Haas F1 Team,MAG,0.0,19,15,,,,17,Japanese,4
15,Williams,RUS,0.0,18,16,,,,17,Japanese,2
16,Williams,KUB,0.0,0,17,,,,17,Japanese,-17
17,Red Bull,VER,0.0,5,18,,,,17,Japanese,-13
18,Renault,RIC,0.0,16,19,,,,17,Japanese,-3
19,Renault,HUL,0.0,15,20,,,,17,Japanese,-5
0,Mercedes,HAM,25.0,3,1,,,,18,Mexican,2
1,Ferrari,VET,18.0,2,2,,,,18,Mexican,0
2,Mercedes,BOT,15.0,6,3,,,,18,Mexican,3
3,Ferrari,LEC,13.0,1,4,,,,18,Mexican,-3
4,Red Bull,ALB,10.0,5,5,,,,18,Mexican,0
5,Red Bull,VER,8.0,4,6,,,,18,Mexican,-2
6,Racing Point,PER,6.0,11,7,,,,18,Mexican,4
7,Renault,RIC,4.0,13,8,,,,18,Mexican,5
8,Toro Rosso,GAS,2.0,10,9,,,,18,Mexican,1
9,Renault,HUL,1.0,12,10,,,,18,Mexican,2
10,Toro Rosso,KVY,0.0,9,11,,,,18,Mexican,-2
11,Racing Point,STR,0.0,16,12,,,,18,Mexican,4
12,McLaren,SAI,0.0,7,13,,,,18,Mexican,-6
13,Alfa Romeo,GIO,0.0,15,14,,,,18,Mexican,1
14,Haas F1 Team,MAG,0.0,17,15,,,,18,Mexican,2
15,Williams,RUS,0.0,19,16,,,,18,Mexican,3
16,Haas F1 Team,GRO,0.0,18,17,,,,18,Mexican,1
17,Williams,KUB,0.0,20,18,,,,18,Mexican,2
18,Alfa Romeo,RAI,0.0,14,19,,,,18,Mexican,-5
19,McLaren,NOR,0.0,8,20,,,,18,Mexican,-12
0,Mercedes,BOT,25.0,1,1,,,,19,United States,0
1,Mercedes,HAM,18.0,5,2,,,,19,United States,3
2,Red Bull,VER,15.0,3,3,,,,19,United States,0
3,Ferrari,LEC,13.0,4,4,,,,19,United States,0
4,Red Bull,ALB,10.0,6,5,,,,19,United States,1
5,Renault,RIC,8.0,9,6,,,,19,United States,3
6,McLaren,NOR,6.0,8,7,,,,19,United States,1
7,McLaren,SAI,4.0,7,8,,,,19,United States,-1
8,Renault,HUL,2.0,11,9,,,,19,United States,2
9,Racing Point,PER,1.0,0,10,,,,19,United States,-10
10,Alfa Romeo,RAI,0.0,17,11,,,,19,United States,6
11,Toro Rosso,KVY,0.0,13,12,,,,19,United States,1
12,Racing Point,STR,0.0,14,13,,,,19,United States,1
13,Alfa Romeo,GIO,0.0,16,14,,,,19,United States,2
14,Haas F1 Team,GRO,0.0,15,15,,,,19,United States,0
15,Toro Rosso,GAS,0.0,10,16,,,,19,United States,-6
16,Williams,RUS,0.0,18,17,,,,19,United States,1
17,Haas F1 Team,MAG,0.0,12,18,,,,19,United States,-6
18,Williams,KUB,0.0,19,19,,,,19,United States,0
19,Ferrari,VET,0.0,2,20,,,,19,United States,-18
0,Red Bull,VER,25.0,1,1,,,,20,Brazilian,0
1,Toro Rosso,GAS,18.0,6,2,,,,20,Brazilian,4
2,McLaren,SAI,15.0,20,3,,,,20,Brazilian,17
3,Alfa Romeo,RAI,12.0,8,4,,,,20,Brazilian,4
4,Alfa Romeo,GIO,10.0,12,5,,,,20,Brazilian,7
5,Renault,RIC,8.0,11,6,,,,20,Brazilian,5
6,Mercedes,HAM,6.0,3,7,,,,20,Brazilian,-4
7,McLaren,NOR,4.0,10,8,,,,20,Brazilian,2
8,Racing Point,PER,2.0,15,9,,,,20,Brazilian,6
9,Toro Rosso,KVY,1.0,16,10,,,,20,Brazilian,6
10,Haas F1 Team,MAG,0.0,9,11,,,,20,Brazilian,-2
11,Williams,RUS,0.0,18,12,,,,20,Brazilian,6
12,Haas F1 Team,GRO,0.0,7,13,,,,20,Brazilian,-6
13,Red Bull,ALB,0.0,5,14,,,,20,Brazilian,-9
14,Renault,HUL,0.0,13,15,,,,20,Brazilian,-2
15,Williams,KUB,0.0,19,16,,,,20,Brazilian,3
16,Ferrari,VET,0.0,2,17,,,,20,Brazilian,-15
17,Ferrari,LEC,0.0,14,18,,,,20,Brazilian,-4
18,Racing Point,STR,0.0,17,19,,,,20,Brazilian,-2
19,Mercedes,BOT,0.0,4,20,,,,20,Brazilian,-16
0,Mercedes,HAM,26.0,1,1,,,,21,Abu Dhabi,0
1,Red Bull,VER,18.0,2,2,,,,21,Abu Dhabi,0
2,Ferrari,LEC,15.0,3,3,,,,21,Abu Dhabi,0
3,Mercedes,BOT,12.0,20,4,,,,21,Abu Dhabi,16
4,Ferrari,VET,10.0,4,5,,,,21,Abu Dhabi,-1
5,Red Bull,ALB,8.0,5,6,,,,21,Abu Dhabi,-1
6,Racing Point,PER,6.0,10,7,,,,21,Abu Dhabi,3
7,McLaren,NOR,4.0,6,8,,,,21,Abu Dhabi,-2
8,Toro Rosso,KVY,2.0,13,9,,,,21,Abu Dhabi,4
9,McLaren,SAI,1.0,8,10,,,,21,Abu Dhabi,-2
10,Renault,RIC,0.0,7,11,,,,21,Abu Dhabi,-4
11,Renault,HUL,0.0,9,12,,,,21,Abu Dhabi,-3
12,Alfa Romeo,RAI,0.0,17,13,,,,21,Abu Dhabi,4
13,Haas F1 Team,MAG,0.0,14,14,,,,21,Abu Dhabi,0
14,Haas F1 Team,GRO,0.0,15,15,,,,21,Abu Dhabi,0
15,Alfa Romeo,GIO,0.0,16,16,,,,21,Abu Dhabi,0
16,Williams,RUS,0.0,18,17,,,,21,Abu Dhabi,1
17,Toro Rosso,GAS,0.0,11,18,,,,21,Abu Dhabi,-7
18,Williams,KUB,0.0,19,19,,,,21,Abu Dhabi,0
19,Racing Point,STR,0.0,12,20,,,,21,Abu Dhabi,-8
