,constructorName,driverCode,points,grid,position,grid_sprint,position_sprint,delta_sprint,round,race,delta
0,Ferrari,ALO,25.0,3,1,,,,1,Bahrain,2
1,Ferrari,MAS,18.0,2,2,,,,1,Bahrain,0
2,McLaren,HAM,15.0,4,3,,,,1,Bahrain,1
3,Red Bull,VET,12.0,1,4,,,,1,Bahrain,-3
4,Mercedes,ROS,10.0,5,5,,,,1,Bahrain,0
5,Mercedes,MSC,8.0,7,6,,,,1,Bahrain,1
6,McLaren,BUT,6.0,8,7,,,,1,Bahrain,1
7,Red Bull,WEB,4.0,6,8,,,,1,Bahrain,-2
8,Force India,LIU,2.0,12,9,,,,1,Bahrain,3
9,Williams,BAR,1.0,11,10,,,,1,Bahrain,1
10,Renault,KUB,0.0,9,11,,,,1,Bahrain,-2
11,Force India,SUT,0.0,10,12,,,,1,Bahrain,-2
12,Toro Rosso,ALG,0.0,18,13,,,,1,Bahrain,5
13,Williams,HUL,0.0,13,14,,,,1,Bahrain,-1
14,Lotus,KOV,0.0,21,15,,,,1,Bahrain,6
15,Toro Rosso,BUE,0.0,15,16,,,,1,Bahrain,-1
16,Lotus,TRU,0.0,20,17,,,,1,Bahrain,3
17,Sauber,DLR,0.0,14,18,,,,1,Bahrain,-4
18,HRT,SEN,0.0,23,19,,,,1,Bahrain,4
19,Virgin,GLO,0.0,19,20,,,,1,Bahrain,-1
20,Renault,PET,0.0,17,21,,,,1,Bahrain,-4
21,Sauber,KOB,0.0,16,22,,,,1,Bahrain,-6
22,Virgin,DIG,0.0,22,23,,,,1,Bahrain,-1
23,HRT,CHA,0.0,24,24,,,,1,Bahrain,0
0,McLaren,BUT,25.0,4,1,,,,2,Australian,3
1,Renault,KUB,18.0,9,2,,,,2,Australian,7
2,Ferrari,MAS,15.0,5,3,,,,2,Australian,2
3,Ferrari,ALO,12.0,3,4,,,,2,Australian,-1
4,Mercedes,ROS,10.0,6,5,,,,2,Australian,1
5,McLaren,HAM,8.0,11,6,,,,2,Australian,5
6,Force India,LIU,6.0,13,7,,,,2,Australian,6
7,Williams,BAR,4.0,8,8,,,,2,Australian,0
8,Red Bull,WEB,2.0,2,9,,,,2,Australian,-7
9,Mercedes,MSC,1.0,7,10,,,,2,Australian,-3
10,Toro Rosso,ALG,0.0,17,11,,,,2,Australian,6
11,Sauber,DLR,0.0,14,12,,,,2,Australian,2
12,Lotus,KOV,0.0,19,13,,,,2,Australian,6
13,HRT,CHA,0.0,22,14,,,,2,Australian,8
14,Virgin,GLO,0.0,23,15,,,,2,Australian,8
15,Virgin,DIG,0.0,24,16,,,,2,Australian,8
16,Red Bull,VET,0.0,1,17,,,,2,Australian,-16
17,Force India,SUT,0.0,10,18,,,,2,Australian,-8
18,Renault,PET,0.0,18,19,,,,2,Australian,-1
19,HRT,SEN,0.0,21,20,,,,2,Australian,1
20,Toro Rosso,BUE,0.0,12,21,,,,2,Australian,-9
21,Williams,HUL,0.0,15,22,,,,2,Australian,-7
22,Sauber,KOB,0.0,16,23,,,,2,Australian,-7
23,Lotus,TRU,0.0,20,24,,,,2,Australian,-4
0,Red Bull,VET,25.0,3,1,,,,3,Malaysian,2
1,Red Bull,WEB,18.0,1,2,,,,3,Malaysian,-1
2,Mercedes,ROS,15.0,2,3,,,,3,Malaysian,-1
3,Renault,KUB,12.0,6,4,,,,3,Malaysian,2
4,Force India,SUT,10.0,4,5,,,,3,Malaysian,-1
5,McLaren,HAM,8.0,20,6,,,,3,Malaysian,14
6,Ferrari,MAS,6.0,21,7,,,,3,Malaysian,14
7,McLaren,BUT,4.0,17,8,,,,3,Malaysian,9
8,Toro Rosso,ALG,2.0,14,9,,,,3,Malaysian,5
9,Williams,HUL,1.0,5,10,,,,3,Malaysian,-5
10,Toro Rosso,BUE,0.0,13,11,,,,3,Malaysian,2
11,Williams,BAR,0.0,7,12,,,,3,Malaysian,-5
12,Ferrari,ALO,0.0,19,13,,,,3,Malaysian,6
13,Virgin,DIG,0.0,24,14,,,,3,Malaysian,10
14,HRT,CHA,0.0,22,15,,,,3,Malaysian,7
15,HRT,SEN,0.0,23,16,,,,3,Malaysian,7
16,Lotus,TRU,0.0,18,17,,,,3,Malaysian,1
17,Lotus,KOV,0.0,15,18,,,,3,Malaysian,-3
18,Renault,PET,0.0,11,19,,,,3,Malaysian,-8
19,Force India,LIU,0.0,10,20,,,,3,Malaysian,-10
20,Mercedes,MSC,0.0,8,21,,,,3,Malaysian,-13
21,Sauber,KOB,0.0,9,22,,,,3,Malaysian,-13
22,Virgin,GLO,0.0,16,23,,,,3,Malaysian,-7
23,Sauber,DLR,0.0,12,24,,,,3,Malaysian,-12
0,McLaren,BUT,25.0,5,1,,,,4,Chinese,4
1,McLaren,HAM,18.0,6,2,,,,4,Chinese,4
2,Mercedes,ROS,15.0,4,3,,,,4,Chinese,1
3,Ferrari,ALO,12.0,3,4,,,,4,Chinese,-1
4,Renault,KUB,10.0,8,5,,,,4,Chinese,3
5,Red Bull,VET,8.0,1,6,,,,4,Chinese,-5
6,Renault,PET,6.0,14,7,,,,4,Chinese,7
7,Red Bull,WEB,4.0,2,8,,,,4,Chinese,-6
8,Ferrari,MAS,2.0,7,9,,,,4,Chinese,-2
9,Mercedes,MSC,1.0,9,10,,,,4,Chinese,-1
10,Force India,SUT,0.0,10,11,,,,4,Chinese,-1
11,Williams,BAR,0.0,11,12,,,,4,Chinese,-1
12,Toro Rosso,ALG,0.0,12,13,,,,4,Chinese,-1
13,Lotus,KOV,0.0,21,14,,,,4,Chinese,7
14,Williams,HUL,0.0,16,15,,,,4,Chinese,1
15,HRT,SEN,0.0,23,16,,,,4,Chinese,7
16,HRT,CHA,0.0,24,17,,,,4,Chinese,7
17,Lotus,TRU,0.0,20,18,,,,4,Chinese,2
18,Virgin,DIG,0.0,22,19,,,,4,Chinese,3
19,Sauber,DLR,0.0,17,20,,,,4,Chinese,-3
20,Toro Rosso,BUE,0.0,13,21,,,,4,Chinese,-8
21,Sauber,KOB,0.0,15,22,,,,4,Chinese,-7
22,Force India,LIU,0.0,18,23,,,,4,Chinese,-5
23,Virgin,GLO,0.0,19,24,,,,4,Chinese,-5
0,Red Bull,WEB,25.0,1,1,,,,5,Spanish,0
1,Ferrari,ALO,18.0,4,2,,,,5,Spanish,2
2,Red Bull,VET,15.0,2,3,,,,5,Spanish,-1
3,Mercedes,MSC,12.0,6,4,,,,5,Spanish,2
4,McLaren,BUT,10.0,5,5,,,,5,Spanish,0
5,Ferrari,MAS,8.0,9,6,,,,5,Spanish,3
6,Force India,SUT,6.0,11,7,,,,5,Spanish,4
7,Renault,KUB,4.0,7,8,,,,5,Spanish,-1
8,Williams,BAR,2.0,17,9,,,,5,Spanish,8
9,Toro Rosso,ALG,1.0,15,10,,,,5,Spanish,5
10,Renault,PET,0.0,19,11,,,,5,Spanish,8
11,Sauber,KOB,0.0,10,12,,,,5,Spanish,-2
12,Mercedes,ROS,0.0,8,13,,,,5,Spanish,-5
13,McLaren,HAM,0.0,3,14,,,,5,Spanish,-11
14,Force India,LIU,0.0,16,15,,,,5,Spanish,1
15,Williams,HUL,0.0,13,16,,,,5,Spanish,-3
16,Lotus,TRU,0.0,18,17,,,,5,Spanish,1
17,Virgin,GLO,0.0,22,18,,,,5,Spanish,4
18,Virgin,DIG,0.0,23,19,,,,5,Spanish,4
19,Toro Rosso,BUE,0.0,14,20,,,,5,Spanish,-6
20,HRT,CHA,0.0,24,21,,,,5,Spanish,3
21,Sauber,DLR,0.0,12,22,,,,5,Spanish,-10
22,HRT,SEN,0.0,21,23,,,,5,Spanish,-2
23,Lotus,KOV,0.0,20,24,,,,5,Spanish,-4
0,Red Bull,WEB,25.0,1,1,,,,6,Monaco,0
1,Red Bull,VET,18.0,3,2,,,,6,Monaco,1
2,Renault,KUB,15.0,2,3,,,,6,Monaco,-1
3,Ferrari,MAS,12.0,4,4,,,,6,Monaco,0
4,McLaren,HAM,10.0,5,5,,,,6,Monaco,0
5,Ferrari,ALO,8.0,24,6,,,,6,Monaco,18
6,Mercedes,ROS,6.0,6,7,,,,6,Monaco,-1
7,Force India,SUT,4.0,12,8,,,,6,Monaco,4
8,Force India,LIU,2.0,10,9,,,,6,Monaco,1
9,Toro Rosso,BUE,1.0,13,10,,,,6,Monaco,3
10,Toro Rosso,ALG,0.0,17,11,,,,6,Monaco,6
11,Mercedes,MSC,0.0,7,12,,,,6,Monaco,-5
12,Renault,PET,0.0,14,13,,,,6,Monaco,1
13,HRT,CHA,0.0,23,14,,,,6,Monaco,9
14,Lotus,TRU,0.0,19,15,,,,6,Monaco,4
15,Lotus,KOV,0.0,18,16,,,,6,Monaco,2
16,HRT,SEN,0.0,22,17,,,,6,Monaco,5
17,Williams,BAR,0.0,9,18,,,,6,Monaco,-9
18,Sauber,KOB,0.0,16,19,,,,6,Monaco,-3
19,Virgin,DIG,0.0,21,20,,,,6,Monaco,1
20,Virgin,GLO,0.0,20,21,,,,6,Monaco,-1
21,Sauber,DLR,0.0,15,22,,,,6,Monaco,-7
22,McLaren,BUT,0.0,8,23,,,,6,Monaco,-15
23,Williams,HUL,0.0,11,24,,,,6,Monaco,-13
0,McLaren,HAM,25.0,2,1,,,,7,Turkish,1
1,McLaren,BUT,18.0,4,2,,,,7,Turkish,2
2,Red Bull,WEB,15.0,1,3,,,,7,Turkish,-2
3,Mercedes,MSC,12.0,5,4,,,,7,Turkish,1
4,Mercedes,ROS,10.0,6,5,,,,7,Turkish,1
5,Renault,KUB,8.0,7,6,,,,7,Turkish,1
6,Ferrari,MAS,6.0,8,7,,,,7,Turkish,1
7,Ferrari,ALO,4.0,12,8,,,,7,Turkish,4
8,Force India,SUT,2.0,11,9,,,,7,Turkish,2
9,Sauber,KOB,1.0,10,10,,,,7,Turkish,0
10,Sauber,DLR,0.0,13,11,,,,7,Turkish,2
11,Toro Rosso,ALG,0.0,16,12,,,,7,Turkish,4
12,Force India,LIU,0.0,18,13,,,,7,Turkish,5
13,Williams,BAR,0.0,15,14,,,,7,Turkish,1
14,Renault,PET,0.0,9,15,,,,7,Turkish,-6
15,Toro Rosso,BUE,0.0,14,16,,,,7,Turkish,-2
16,Williams,HUL,0.0,17,17,,,,7,Turkish,0
17,Virgin,GLO,0.0,21,18,,,,7,Turkish,3
18,Virgin,DIG,0.0,23,19,,,,7,Turkish,4
19,HRT,CHA,0.0,24,20,,,,7,Turkish,4
20,HRT,SEN,0.0,22,21,,,,7,Turkish,1
21,Red Bull,VET,0.0,3,22,,,,7,Turkish,-19
22,Lotus,KOV,0.0,20,23,,,,7,Turkish,-3
