,constructorName,driverCode,points,grid,position,grid_sprint,position_sprint,delta_sprint,round,race,delta
0,Red Bull,VET,25.0,1,1,,,,1,Australian,0
1,McLaren,HAM,18.0,2,2,,,,1,Australian,0
2,Renault,PET,15.0,6,3,,,,1,Australian,3
3,Ferrari,ALO,12.0,5,4,,,,1,Australian,1
4,Red Bull,WEB,10.0,3,5,,,,1,Australian,-2
5,McLaren,BUT,8.0,4,6,,,,1,Australian,-2
6,Ferrari,MAS,6.0,8,7,,,,1,Australian,1
7,Toro Rosso,BUE,4.0,10,8,,,,1,Australian,2
8,Force India,SUT,2.0,16,9,,,,1,Australian,7
9,Force India,DIR,1.0,14,10,,,,1,Australian,4
10,Toro Rosso,ALG,0.0,12,11,,,,1,Australian,1
11,Renault,HEI,0.0,18,12,,,,1,Australian,6
12,Lotus,TRU,0.0,20,13,,,,1,Australian,7
13,Virgin,DAM,0.0,22,14,,,,1,Australian,8
14,Virgin,GLO,0.0,21,15,,,,1,Australian,6
15,Williams,BAR,0.0,17,16,,,,1,Australian,1
16,Mercedes,ROS,0.0,7,17,,,,1,Australian,-10
17,Lotus,KOV,0.0,19,18,,,,1,Australian,1
18,Mercedes,MSC,0.0,11,19,,,,1,Australian,-8
19,Williams,MAL,0.0,15,20,,,,1,Australian,-5
20,Sauber,KOB,0.0,9,21,,,,1,Australian,-12
21,Sauber,PER,0.0,13,22,,,,1,Australian,-9
22,HRT,LIU,0.0,0,23,,,,1,Australian,-23
23,HRT,KAR,0.0,0,24,,,,1,Australian,-24
0,Red Bull,VET,25.0,1,1,,,,2,Malaysian,0
1,McLaren,BUT,18.0,4,2,,,,2,Malaysian,2
2,Renault,HEI,15.0,6,3,,,,2,Malaysian,3
3,Red Bull,WEB,12.0,3,4,,,,2,Malaysian,-1
4,Ferrari,MAS,10.0,7,5,,,,2,Malaysian,2
5,Ferrari,ALO,8.0,5,6,,,,2,Malaysian,-1
6,Sauber,KOB,6.0,10,7,,,,2,Malaysian,3
7,McLaren,HAM,4.0,2,8,,,,2,Malaysian,-6
8,Mercedes,MSC,2.0,11,9,,,,2,Malaysian,2
9,Force India,DIR,1.0,14,10,,,,2,Malaysian,4
10,Force India,SUT,0.0,17,11,,,,2,Malaysian,6
11,Mercedes,ROS,0.0,9,12,,,,2,Malaysian,-3
12,Toro Rosso,BUE,0.0,12,13,,,,2,Malaysian,-1
13,Toro Rosso,ALG,0.0,13,14,,,,2,Malaysian,-1
14,Lotus,KOV,0.0,19,15,,,,2,Malaysian,4
15,Virgin,GLO,0.0,21,16,,,,2,Malaysian,5
16,Renault,PET,0.0,8,17,,,,2,Malaysian,-9
17,HRT,LIU,0.0,23,18,,,,2,Malaysian,5
18,Virgin,DAM,0.0,22,19,,,,2,Malaysian,3
19,Lotus,TRU,0.0,20,20,,,,2,Malaysian,0
20,Sauber,PER,0.0,16,21,,,,2,Malaysian,-5
