,constructorName,driverCode,points,grid,position,grid_sprint,position_sprint,delta_sprint,round,race,delta
0,Red Bull,VER,26.0,1,1,,,,1,Bahrain,0
1,Red Bull,PER,18.0,5,2,,,,1,Bahrain,3
2,Ferrari,SAI,15.0,4,3,,,,1,Bahrain,1
3,Ferrari,LEC,12.0,2,4,,,,1,Bahrain,-2
4,Mercedes,RUS,10.0,3,5,,,,1,Bahrain,-2
5,McLaren,NOR,8.0,7,6,,,,1,Bahrain,1
6,Mercedes,HAM,6.0,9,7,,,,1,Bahrain,2
7,McLaren,PIA,4.0,8,8,,,,1,Bahrain,0
8,Aston Martin,ALO,2.0,6,9,,,,1,Bahrain,-3
9,Aston Martin,STR,1.0,12,10,,,,1,Bahrain,2
10,Sauber,ZHO,0.0,17,11,,,,1,Bahrain,6
11,Haas F1 Team,MAG,0.0,15,12,,,,1,Bahrain,3
12,RB F1 Team,RIC,0.0,14,13,,,,1,Bahrain,1
13,RB F1 Team,TSU,0.0,11,14,,,,1,Bahrain,-3
14,Williams,ALB,0.0,13,15,,,,1,Bahrain,-2
15,Haas F1 Team,HUL,0.0,10,16,,,,1,Bahrain,-6
16,Alpine F1 Team,OCO,0.0,19,17,,,,1,Bahrain,2
17,Alpine F1 Team,GAS,0.0,20,18,,,,1,Bahrain,2
18,Sauber,BOT,0.0,16,19,,,,1,Bahrain,-3
19,Williams,SAR,0.0,18,20,,,,1,Bahrain,-2
0,Red Bull,VER,25.0,1,1,,,,2,Saudi Arabian,0
1,Red Bull,PER,18.0,3,2,,,,2,Saudi Arabian,1
2,Ferrari,LEC,16.0,2,3,,,,2,Saudi Arabian,-1
3,McLaren,PIA,12.0,5,4,,,,2,Saudi Arabian,1
4,Aston Martin,ALO,10.0,4,5,,,,2,Saudi Arabian,-1
5,Mercedes,RUS,8.0,7,6,,,,2,Saudi Arabian,1
6,Ferrari,BEA,6.0,11,7,,,,2,Saudi Arabian,4
7,McLaren,NOR,4.0,6,8,,,,2,Saudi Arabian,-2
8,Mercedes,HAM,2.0,8,9,,,,2,Saudi Arabian,-1
9,Haas F1 Team,HUL,1.0,15,10,,,,2,Saudi Arabian,5
10,Williams,ALB,0.0,12,11,,,,2,Saudi Arabian,1
11,Haas F1 Team,MAG,0.0,13,12,,,,2,Saudi Arabian,1
12,Alpine F1 Team,OCO,0.0,17,13,,,,2,Saudi Arabian,4
13,Williams,SAR,0.0,19,14,,,,2,Saudi Arabian,5
14,RB F1 Team,TSU,0.0,9,15,,,,2,Saudi Arabian,-6
15,RB F1 Team,RIC,0.0,14,16,,,,2,Saudi Arabian,-2
16,Sauber,BOT,0.0,16,17,,,,2,Saudi Arabian,-1
17,Sauber,ZHO,0.0,20,18,,,,2,Saudi Arabian,2
18,Aston Martin,STR,0.0,10,19,,,,2,Saudi Arabian,-9
19,Alpine F1 Team,GAS,0.0,18,20,,,,2,Saudi Arabian,-2
0,Ferrari,SAI,25.0,2,1,,,,3,Australian,1
1,Ferrari,LEC,19.0,4,2,,,,3,Australian,2
2,McLaren,NOR,15.0,3,3,,,,3,Australian,0
3,McLaren,PIA,12.0,5,4,,,,3,Australian,1
4,Red Bull,PER,10.0,6,5,,,,3,Australian,1
5,Aston Martin,STR,8.0,9,6,,,,3,Australian,3
6,RB F1 Team,TSU,6.0,8,7,,,,3,Australian,1
7,Aston Martin,ALO,4.0,10,8,,,,3,Australian,2
8,Haas F1 Team,HUL,2.0,16,9,,,,3,Australian,7
9,Haas F1 Team,MAG,1.0,14,10,,,,3,Australian,4
10,Williams,ALB,0.0,12,11,,,,3,Australian,1
11,RB F1 Team,RIC,0.0,18,12,,,,3,Australian,6
12,Alpine F1 Team,GAS,0.0,17,13,,,,3,Australian,4
13,Sauber,BOT,0.0,13,14,,,,3,Australian,-1
14,Sauber,ZHO,0.0,19,15,,,,3,Australian,4
15,Alpine F1 Team,OCO,0.0,15,16,,,,3,Australian,-1
16,Mercedes,RUS,0.0,7,17,,,,3,Australian,-10
17,Mercedes,HAM,0.0,11,18,,,,3,Australian,-7
18,Red Bull,VER,0.0,1,19,,,,3,Australian,-18
0,Red Bull,VER,26.0,1,1,,,,4,Japanese,0
1,Red Bull,PER,18.0,2,2,,,,4,Japanese,0
2,Ferrari,SAI,15.0,4,3,,,,4,Japanese,1
3,Ferrari,LEC,12.0,8,4,,,,4,Japanese,4
4,McLaren,NOR,10.0,3,5,,,,4,Japanese,-2
5,Aston Martin,ALO,8.0,5,6,,,,4,Japanese,-1
6,Mercedes,RUS,6.0,9,7,,,,4,Japanese,2
