,DriverId,TeamId,Position,GridPosition,Time,Status,Points,season,round,circuitId
1,max_verstappen,red_bull,1.0,1.0,0.0,Finished,26.0,2024,1,bahrain
11,perez,red_bull,2.0,5.0,22.457,Finished,18.0,2024,1,bahrain
55,sainz,ferrari,3.0,4.0,25.11,Finished,15.0,2024,1,bahrain
16,leclerc,ferrari,4.0,2.0,39.669,Finished,12.0,2024,1,bahrain
63,russell,mercedes,5.0,3.0,46.788,Finished,10.0,2024,1,bahrain
4,norris,mclaren,6.0,7.0,48.458,Finished,8.0,2024,1,bahrain
44,hamilton,mercedes,7.0,9.0,50.324,Finished,6.0,2024,1,bahrain
81,piastri,mclaren,8.0,8.0,56.082,Finished,4.0,2024,1,bahrain
14,alonso,aston_martin,9.0,6.0,74.887,Finished,2.0,2024,1,bahrain
18,stroll,aston_martin,10.0,12.0,93.216,Finished,1.0,2024,1,bahrain
24,zhou,sauber,11.0,17.0,193.216,+1 Lap,0.0,2024,1,bahrain
20,kevin_magnussen,haas,12.0,15.0,193.216,+1 Lap,0.0,2024,1,bahrain
3,ricciardo,rb,13.0,14.0,193.216,+1 Lap,0.0,2024,1,bahrain
22,tsunoda,rb,14.0,11.0,193.216,+1 Lap,0.0,2024,1,bahrain
23,albon,williams,15.0,13.0,193.216,+1 Lap,0.0,2024,1,bahrain
27,hulkenberg,haas,16.0,10.0,193.216,+1 Lap,0.0,2024,1,bahrain
31,ocon,alpine,17.0,19.0,193.216,+1 Lap,0.0,2024,1,bahrain
10,gasly,alpine,18.0,20.0,193.216,+1 Lap,0.0,2024,1,bahrain
77,bottas,sauber,19.0,16.0,193.216,+1 Lap,0.0,2024,1,bahrain
2,sargeant,williams,20.0,18.0,193.216,+2 Laps,0.0,2024,1,bahrain
1,max_verstappen,red_bull,1.0,1.0,0.0,Finished,25.0,2024,2,jeddah
11,perez,red_bull,2.0,3.0,13.6431,Finished,18.0,2024,2,jeddah
16,leclerc,ferrari,3.0,2.0,18.639,Finished,16.0,2024,2,jeddah
81,piastri,mclaren,4.0,5.0,32.007,Finished,12.0,2024,2,jeddah
14,alonso,aston_martin,5.0,4.0,35.759,Finished,10.0,2024,2,jeddah
63,russell,mercedes,6.0,7.0,39.936,Finished,8.0,2024,2,jeddah
38,bearman,ferrari,7.0,11.0,42.679,Finished,6.0,2024,2,jeddah
4,norris,mclaren,8.0,6.0,45.708,Finished,4.0,2024,2,jeddah
44,hamilton,mercedes,9.0,8.0,47.391,Finished,2.0,2024,2,jeddah
27,hulkenberg,haas,10.0,15.0,76.996,Finished,1.0,2024,2,jeddah
23,albon,williams,11.0,12.0,88.354,Finished,0.0,2024,2,jeddah
20,kevin_magnussen,haas,12.0,13.0,105.7373,Finished,0.0,2024,2,jeddah
31,ocon,alpine,13.0,17.0,205.7373,+1 Lap,0.0,2024,2,jeddah
2,sargeant,williams,14.0,19.0,205.7373,+1 Lap,0.0,2024,2,jeddah
22,tsunoda,rb,15.0,9.0,205.7373,+1 Lap,0.0,2024,2,jeddah
3,ricciardo,rb,16.0,14.0,205.7373,+1 Lap,0.0,2024,2,jeddah
77,bottas,sauber,17.0,16.0,205.7373,+1 Lap,0.0,2024,2,jeddah
24,zhou,sauber,18.0,20.0,205.7373,+1 Lap,0.0,2024,2,jeddah
18,stroll,aston_martin,19.0,10.0,205.7373,Accident,0.0,2024,2,jeddah
10,gasly,alpine,20.0,18.0,205.7373,Gearbox,0.0,2024,2,jeddah
55,sainz,ferrari,1.0,2.0,0.0,Finished,25.0,2024,3,albert_park
16,leclerc,ferrari,2.0,4.0,2.366,Finished,19.0,2024,3,albert_park
4,norris,mclaren,3.0,3.0,5.904,Finished,15.0,2024,3,albert_park
81,piastri,mclaren,4.0,5.0,35.77,Finished,12.0,2024,3,albert_park
11,perez,red_bull,5.0,6.0,56.309,Finished,10.0,2024,3,albert_park
18,stroll,aston_martin,6.0,9.0,93.222,Finished,8.0,2024,3,albert_park
22,tsunoda,rb,7.0,8.0,95.601,Finished,6.0,2024,3,albert_park
14,alonso,aston_martin,8.0,10.0,100.992,Finished,4.0,2024,3,albert_park
27,hulkenberg,haas,9.0,16.0,104.553,Finished,2.0,2024,3,albert_park
20,kevin_magnussen,haas,10.0,14.0,204.553,+1 Lap,1.0,2024,3,albert_park
23,albon,williams,11.0,12.0,204.553,+1 Lap,0.0,2024,3,albert_park
3,ricciardo,rb,12.0,18.0,204.553,+1 Lap,0.0,2024,3,albert_park
10,gasly,alpine,13.0,17.0,204.553,+1 Lap,0.0,2024,3,albert_park
77,bottas,sauber,14.0,13.0,204.553,+1 Lap,0.0,2024,3,albert_park
24,zhou,sauber,15.0,19.0,204.553,+1 Lap,0.0,2024,3,albert_park
31,ocon,alpine,16.0,15.0,204.553,+1 Lap,0.0,2024,3,albert_park
63,russell,mercedes,17.0,7.0,204.553,Accident,0.0,2024,3,albert_park
44,hamilton,mercedes,18.0,11.0,204.553,Engine,0.0,2024,3,albert_park
1,max_verstappen,red_bull,19.0,1.0,204.553,Brakes,0.0,2024,3,albert_park
1,max_verstappen,red_bull,1.0,1.0,0.0,Finished,26.0,2024,4,suzuka
11,perez,red_bull,2.0,2.0,12.535,Finished,18.0,2024,4,suzuka
55,sainz,ferrari,3.0,4.0,20.866,Finished,15.0,2024,4,suzuka
16,leclerc,ferrari,4.0,8.0,26.522,Finished,12.0,2024,4,suzuka
4,norris,mclaren,5.0,3.0,29.7,Finished,10.0,2024,4,suzuka
14,alonso,aston_martin,6.0,5.0,44.272,Finished,8.0,2024,4,suzuka
63,russell,mercedes,7.0,9.0,45.951,Finished,6.0,2024,4,suzuka
81,piastri,mclaren,8.0,6.0,47.525,Finished,4.0,2024,4,suzuka
44,hamilton,mercedes,9.0,7.0,48.626,Finished,2.0,2024,4,suzuka
22,tsunoda,rb,10.0,10.0,148.626,+1 Lap,1.0,2024,4,suzuka
27,hulkenberg,haas,11.0,12.0,148.626,+1 Lap,0.0,2024,4,suzuka
18,stroll,aston_martin,12.0,16.0,148.626,+1 Lap,0.0,2024,4,suzuka
20,kevin_magnussen,haas,13.0,18.0,148.626,+1 Lap,0.0,2024,4,suzuka
77,bottas,sauber,14.0,13.0,148.626,+1 Lap,0.0,2024,4,suzuka
31,ocon,alpine,15.0,15.0,148.626,+1 Lap,0.0,2024,4,suzuka
10,gasly,alpine,16.0,17.0,148.626,+1 Lap,0.0,2024,4,suzuka
2,sargeant,williams,17.0,19.0,148.626,+1 Lap,0.0,2024,4,suzuka
24,zhou,sauber,18.0,20.0,148.626,Gearbox,0.0,2024,4,suzuka
3,ricciardo,rb,19.0,11.0,148.626,Accident,0.0,2024,4,suzuka
23,albon,williams,20.0,14.0,148.626,Accident,0.0,2024,4,suzuka
1,max_verstappen,red_bull,1.0,1.0,0.0,Finished,25.0,2024,5,shanghai
4,norris,mclaren,2.0,4.0,13.773,Finished,18.0,2024,5,shanghai
11,perez,red_bull,3.0,2.0,19.16,Finished,15.0,2024,5,shanghai
16,leclerc,ferrari,4.0,6.0,23.623,Finished,12.0,2024,5,shanghai
55,sainz,ferrari,5.0,7.0,33.983,Finished,10.0,2024,5,shanghai
