DriverNumber,DriverId,TeamId,Position,GridPosition,Time,Status,Points,season,round,circuitId
6,rosberg,mercedes,1.0,3.0,0.0,Finished,25.0,2014,1,albert_park
20,kevin_magnussen,mclaren,2.0,4.0,26.777,Finished,18.0,2014,1,albert_park
22,button,mclaren,3.0,10.0,30.027,Finished,15.0,2014,1,albert_park
14,alonso,ferrari,4.0,5.0,35.284,Finished,12.0,2014,1,albert_park
77,bottas,williams,5.0,15.0,47.639,Finished,10.0,2014,1,albert_park
27,hulkenberg,force_india,6.0,7.0,50.718,Finished,8.0,2014,1,albert_park
7,raikkonen,ferrari,7.0,11.0,57.675,Finished,6.0,2014,1,albert_park
25,vergne,toro_rosso,8.0,6.0,60.441,Finished,4.0,2014,1,albert_park
26,kvyat,toro_rosso,9.0,8.0,63.585,Finished,2.0,2014,1,albert_park
11,perez,force_india,10.0,16.0,85.916,Finished,1.0,2014,1,albert_park
99,sutil,sauber,11.0,13.0,185.916,+1 Lap,0.0,2014,1,albert_park
21,gutierrez,sauber,12.0,20.0,185.916,+1 Lap,0.0,2014,1,albert_park
4,chilton,marussia,13.0,17.0,185.916,+2 Laps,0.0,2014,1,albert_park
17,jules_bianchi,marussia,14.0,18.0,185.916,+8 Laps,0.0,2014,1,albert_park
8,grosjean,lotus_f1,15.0,22.0,185.916,ERS,0.0,2014,1,albert_park
13,maldonado,lotus_f1,16.0,21.0,185.916,ERS,0.0,2014,1,albert_park
9,ericsson,caterham,17.0,19.0,185.916,Oil pressure,0.0,2014,1,albert_park
1,vettel,red_bull,18.0,12.0,185.916,Engine,0.0,2014,1,albert_park
44,hamilton,mercedes,19.0,1.0,185.916,Engine,0.0,2014,1,albert_park
19,massa,williams,20.0,9.0,185.916,Collision,0.0,2014,1,albert_park
10,kobayashi,caterham,21.0,14.0,185.916,Collision,0.0,2014,1,albert_park
3,ricciardo,red_bull,22.0,2.0,185.916,Disqualified,0.0,2014,1,albert_park
44,hamilton,mercedes,1.0,1.0,0.0,Finished,25.0,2014,2,sepang
6,rosberg,mercedes,2.0,3.0,17.313,Finished,18.0,2014,2,sepang
1,vettel,red_bull,3.0,2.0,24.534,Finished,15.0,2014,2,sepang
14,alonso,ferrari,4.0,4.0,35.992,Finished,12.0,2014,2,sepang
27,hulkenberg,force_india,5.0,7.0,47.199,Finished,10.0,2014,2,sepang
22,button,mclaren,6.0,10.0,83.691,Finished,8.0,2014,2,sepang
19,massa,williams,7.0,13.0,85.076,Finished,6.0,2014,2,sepang
77,bottas,williams,8.0,18.0,85.537,Finished,4.0,2014,2,sepang
20,kevin_magnussen,mclaren,9.0,8.0,185.537,+1 Lap,2.0,2014,2,sepang
26,kvyat,toro_rosso,10.0,11.0,185.537,+1 Lap,1.0,2014,2,sepang
8,grosjean,lotus_f1,11.0,15.0,185.537,+1 Lap,0.0,2014,2,sepang
7,raikkonen,ferrari,12.0,6.0,185.537,+1 Lap,0.0,2014,2,sepang
10,kobayashi,caterham,13.0,20.0,185.537,+1 Lap,0.0,2014,2,sepang
9,ericsson,caterham,14.0,22.0,185.537,+2 Laps,0.0,2014,2,sepang
4,chilton,marussia,15.0,21.0,185.537,+2 Laps,0.0,2014,2,sepang
3,ricciardo,red_bull,16.0,5.0,185.537,Technical,0.0,2014,2,sepang
21,gutierrez,sauber,17.0,12.0,185.537,Gearbox,0.0,2014,2,sepang
99,sutil,sauber,18.0,17.0,185.537,Electrical,0.0,2014,2,sepang
25,vergne,toro_rosso,19.0,9.0,185.537,Power Unit,0.0,2014,2,sepang
17,jules_bianchi,marussia,20.0,19.0,185.537,Brakes,0.0,2014,2,sepang
13,maldonado,lotus_f1,21.0,16.0,185.537,Engine,0.0,2014,2,sepang
11,perez,force_india,22.0,14.0,185.537,Withdrew,0.0,2014,2,sepang
44,hamilton,mercedes,1.0,2.0,0.0,Finished,25.0,2014,3,bahrain
6,rosberg,mercedes,2.0,1.0,1.085,Finished,18.0,2014,3,bahrain
11,perez,force_india,3.0,4.0,24.067,Finished,15.0,2014,3,bahrain
3,ricciardo,red_bull,4.0,13.0,24.489,Finished,12.0,2014,3,bahrain
27,hulkenberg,force_india,5.0,11.0,28.654,Finished,10.0,2014,3,bahrain
1,vettel,red_bull,6.0,10.0,29.879,Finished,8.0,2014,3,bahrain
19,massa,williams,7.0,7.0,31.265,Finished,6.0,2014,3,bahrain
77,bottas,williams,8.0,3.0,31.876,Finished,4.0,2014,3,bahrain
14,alonso,ferrari,9.0,9.0,32.595,Finished,2.0,2014,3,bahrain
7,raikkonen,ferrari,10.0,5.0,33.462,Finished,1.0,2014,3,bahrain
26,kvyat,toro_rosso,11.0,12.0,41.342,Finished,0.0,2014,3,bahrain
8,grosjean,lotus_f1,12.0,16.0,43.143,Finished,0.0,2014,3,bahrain
4,chilton,marussia,13.0,21.0,59.909,Finished,0.0,2014,3,bahrain
13,maldonado,lotus_f1,14.0,17.0,62.803,Finished,0.0,2014,3,bahrain
10,kobayashi,caterham,15.0,18.0,87.9,Finished,0.0,2014,3,bahrain
17,jules_bianchi,marussia,16.0,19.0,187.9,+1 Lap,0.0,2014,3,bahrain
22,button,mclaren,17.0,6.0,187.9,Clutch,0.0,2014,3,bahrain
20,kevin_magnussen,mclaren,18.0,8.0,187.9,Clutch,0.0,2014,3,bahrain
21,gutierrez,sauber,19.0,15.0,187.9,Collision,0.0,2014,3,bahrain
9,ericsson,caterham,20.0,20.0,187.9,Retired,0.0,2014,3,bahrain
25,vergne,toro_rosso,21.0,14.0,187.9,Retired,0.0,2014,3,bahrain
99,sutil,sauber,22.0,22.0,187.9,Collision,0.0,2014,3,bahrain
44,hamilton,mercedes,1.0,1.0,0.0,Finished,25.0,2014,4,shanghai
6,rosberg,mercedes,2.0,4.0,18.062,Finished,18.0,2014,4,shanghai
14,alonso,ferrari,3.0,5.0,23.604,Finished,15.0,2014,4,shanghai
3,ricciardo,red_bull,4.0,2.0,27.136,Finished,12.0,2014,4,shanghai
1,vettel,red_bull,5.0,3.0,47.778,Finished,10.0,2014,4,shanghai
27,hulkenberg,force_india,6.0,8.0,54.295,Finished,8.0,2014,4,shanghai
77,bottas,williams,7.0,7.0,55.697,Finished,6.0,2014,4,shanghai
7,raikkonen,ferrari,8.0,11.0,76.335,Finished,4.0,2014,4,shanghai
11,perez,force_india,9.0,16.0,82.647,Finished,2.0,2014,4,shanghai
26,kvyat,toro_rosso,10.0,13.0,182.647,+1 Lap,1.0,2014,4,shanghai
22,button,mclaren,11.0,12.0,182.647,+1 Lap,0.0,2014,4,shanghai
25,vergne,toro_rosso,12.0,9.0,182.647,+1 Lap,0.0,2014,4,shanghai
20,kevin_magnussen,mclaren,13.0,15.0,182.647,+1 Lap,0.0,2014,4,shanghai
13,maldonado,lotus_f1,14.0,22.0,182.647,+1 Lap,0.0,2014,4,shanghai
19,massa,williams,15.0,6.0,182.647,+1 Lap,0.0,2014,4,shanghai
21,gutierrez,sauber,16.0,17.0,182.647,+1 Lap,0.0,2014,4,shanghai
17,jules_bianchi,marussia,17.0,19.0,182.647,+1 Lap,0.0,2014,4,shanghai
10,kobayashi,caterham,18.0,18.0,182.647,+1 Lap,0.0,2014,4,shanghai
4,chilton,marussia,19.0,21.0,182.647,+2 Laps,0.0,2014,4,shanghai
9,ericsson,caterham,20.0,20.0,182.647,+2 Laps,0.0,2014,4,shanghai
8,grosjean,lotus_f1,21.0,10.0,182.647,Gearbox,0.0,2014,4,shanghai
99,sutil,sauber,22.0,14.0,182.647,Engine,0.0,2014,4,shanghai
44,hamilton,mercedes,1.0,1.0,0.0,Finished,25.0,2014,5,catalunya
6,rosberg,mercedes,2.0,2.0,0.636,Finished,18.0,2014,5,catalunya
3,ricciardo,red_bull,3.0,3.0,49.014,Finished,15.0,2014,5,catalunya
1,vettel,red_bull,4.0,15.0,76.702,Finished,12.0,2014,5,catalunya
77,bottas,williams,5.0,4.0,79.293,Finished,10.0,2014,5,catalunya
14,alonso,ferrari,6.0,7.0,87.743,Finished,8.0,2014,5,catalunya
7,raikkonen,ferrari,7.0,6.0,187.743,+1 Lap,6.0,2014,5,catalunya
8,grosjean,lotus_f1,8.0,5.0,187.743,+1 Lap,4.0,2014,5,catalunya
11,perez,force_india,9.0,11.0,187.743,+1 Lap,2.0,2014,5,catalunya
27,hulkenberg,force_india,10.0,10.0,187.743,+1 Lap,1.0,2014,5,catalunya
22,button,mclaren,11.0,8.0,187.743,+1 Lap,0.0,2014,5,catalunya
20,kevin_magnussen,mclaren,12.0,14.0,187.743,+1 Lap,0.0,2014,5,catalunya
19,massa,williams,13.0,9.0,187.743,+1 Lap,0.0,2014,5,catalunya
26,kvyat,toro_rosso,14.0,12.0,187.743,+1 Lap,0.0,2014,5,catalunya
13,maldonado,lotus_f1,15.0,22.0,187.743,+1 Lap,0.0,2014,5,catalunya
21,gutierrez,sauber,16.0,13.0,187.743,+1 Lap,0.0,2014,5,catalunya
99,sutil,sauber,17.0,16.0,187.743,+1 Lap,0.0,2014,5,catalunya
17,jules_bianchi,marussia,18.0,18.0,187.743,+2 Laps,0.0,2014,5,catalunya
4,chilton,marussia,19.0,17.0,187.743,+2 Laps,0.0,2014,5,catalunya
