,DriverId,TeamId,Position,GridPosition,Time,Status,Points,season,round,circuitId
5,vettel,ferrari,1.0,3.0,0.0,Finished,25.0,2018,1,albert_park
44,hamilton,mercedes,2.0,1.0,5.036,Finished,18.0,2018,1,albert_park
7,raikkonen,ferrari,3.0,2.0,6.309,Finished,15.0,2018,1,albert_park
3,ricciardo,red_bull,4.0,8.0,7.069,Finished,12.0,2018,1,albert_park
14,alonso,mclaren,5.0,10.0,27.886,Finished,10.0,2018,1,albert_park
33,max_verstappen,red_bull,6.0,4.0,28.945,Finished,8.0,2018,1,albert_park
27,hulkenberg,renault,7.0,7.0,32.671,Finished,6.0,2018,1,albert_park
77,bottas,mercedes,8.0,15.0,34.339,Finished,4.0,2018,1,albert_park
2,vandoorne,mclaren,9.0,11.0,34.921,Finished,2.0,2018,1,albert_park
55,sainz,renault,10.0,9.0,45.722,Finished,1.0,2018,1,albert_park
11,perez,force_india,11.0,12.0,46.817,Finished,0.0,2018,1,albert_park
31,ocon,force_india,12.0,14.0,60.278,Finished,0.0,2018,1,albert_park
16,leclerc,sauber,13.0,18.0,75.759,Finished,0.0,2018,1,albert_park
18,stroll,williams,14.0,13.0,78.288,Finished,0.0,2018,1,albert_park
28,brendon_hartley,toro_rosso,15.0,16.0,178.288,+1 Lap,0.0,2018,1,albert_park
8,grosjean,haas,16.0,6.0,178.288,Wheel,0.0,2018,1,albert_park
20,kevin_magnussen,haas,17.0,5.0,178.288,Wheel,0.0,2018,1,albert_park
10,gasly,toro_rosso,18.0,20.0,178.288,Engine,0.0,2018,1,albert_park
9,ericsson,sauber,19.0,17.0,178.288,Steering,0.0,2018,1,albert_park
35,sirotkin,williams,20.0,19.0,178.288,Brakes,0.0,2018,1,albert_park
5,vettel,ferrari,1.0,1.0,0.0,Finished,25.0,2018,2,bahrain
77,bottas,mercedes,2.0,3.0,0.699,Finished,18.0,2018,2,bahrain
44,hamilton,mercedes,3.0,9.0,6.512,Finished,15.0,2018,2,bahrain
10,gasly,toro_rosso,4.0,5.0,62.234,Finished,12.0,2018,2,bahrain
20,kevin_magnussen,haas,5.0,6.0,75.046,Finished,10.0,2018,2,bahrain
27,hulkenberg,renault,6.0,7.0,99.024,Finished,8.0,2018,2,bahrain
14,alonso,mclaren,7.0,13.0,199.024,+1 Lap,6.0,2018,2,bahrain
2,vandoorne,mclaren,8.0,14.0,199.024,+1 Lap,4.0,2018,2,bahrain
9,ericsson,sauber,9.0,17.0,199.024,+1 Lap,2.0,2018,2,bahrain
31,ocon,force_india,10.0,8.0,199.024,+1 Lap,1.0,2018,2,bahrain
55,sainz,renault,11.0,10.0,199.024,+1 Lap,0.0,2018,2,bahrain
16,leclerc,sauber,12.0,19.0,199.024,+1 Lap,0.0,2018,2,bahrain
8,grosjean,haas,13.0,16.0,199.024,+1 Lap,0.0,2018,2,bahrain
18,stroll,williams,14.0,20.0,199.024,+1 Lap,0.0,2018,2,bahrain
35,sirotkin,williams,15.0,18.0,199.024,+1 Lap,0.0,2018,2,bahrain
11,perez,force_india,16.0,12.0,199.024,+1 Lap,0.0,2018,2,bahrain
28,brendon_hartley,toro_rosso,17.0,11.0,199.024,+1 Lap,0.0,2018,2,bahrain
7,raikkonen,ferrari,18.0,2.0,199.024,Wheel,0.0,2018,2,bahrain
33,max_verstappen,red_bull,19.0,15.0,199.024,Puncture,0.0,2018,2,bahrain
3,ricciardo,red_bull,20.0,4.0,199.024,Electrical,0.0,2018,2,bahrain
3,ricciardo,red_bull,1.0,6.0,0.0,Finished,25.0,2018,3,shanghai
77,bottas,mercedes,2.0,3.0,8.894,Finished,18.0,2018,3,shanghai
7,raikkonen,ferrari,3.0,2.0,9.637,Finished,15.0,2018,3,shanghai
44,hamilton,mercedes,4.0,4.0,16.985,Finished,12.0,2018,3,shanghai
