DriverNumber,DriverId,TeamId,Position,GridPosition,Time,Status,Points,season,round,circuitId
3,button,mclaren,1.0,2.0,0.0,Finished,25.0,2012,1,albert_park
1,vettel,red_bull,2.0,6.0,2.139,Finished,18.0,2012,1,albert_park
4,hamilton,mclaren,3.0,1.0,4.075,Finished,15.0,2012,1,albert_park
2,webber,red_bull,4.0,5.0,4.547,Finished,12.0,2012,1,albert_park
5,alonso,ferrari,5.0,12.0,21.565,Finished,10.0,2012,1,albert_park
14,kobayashi,sauber,6.0,13.0,36.766,Finished,8.0,2012,1,albert_park
9,raikkonen,lotus_f1,7.0,17.0,38.014,Finished,6.0,2012,1,albert_park
15,perez,sauber,8.0,22.0,39.458,Finished,4.0,2012,1,albert_park
16,ricciardo,toro_rosso,9.0,10.0,39.556,Finished,2.0,2012,1,albert_park
11,resta,force_india,10.0,15.0,39.737,Finished,1.0,2012,1,albert_park
17,vergne,toro_rosso,11.0,11.0,39.848,Finished,0.0,2012,1,albert_park
8,rosberg,mercedes,12.0,7.0,57.642,Finished,0.0,2012,1,albert_park
18,maldonado,williams,13.0,8.0,157.642,Accident,0.0,2012,1,albert_park
24,glock,marussia,14.0,20.0,157.642,+1 Lap,0.0,2012,1,albert_park
25,pic,marussia,15.0,21.0,157.642,+5 Laps,0.0,2012,1,albert_park
19,bruno_senna,williams,16.0,14.0,157.642,Collision,0.0,2012,1,albert_park
6,massa,ferrari,17.0,16.0,157.642,Collision,0.0,2012,1,albert_park
20,kovalainen,caterham,18.0,18.0,157.642,Suspension,0.0,2012,1,albert_park
21,petrov,caterham,19.0,19.0,157.642,Steering,0.0,2012,1,albert_park
7,michael_schumacher,mercedes,20.0,4.0,157.642,Gearbox,0.0,2012,1,albert_park
10,grosjean,lotus_f1,21.0,3.0,157.642,Collision,0.0,2012,1,albert_park
12,hulkenberg,force_india,22.0,9.0,157.642,Collision,0.0,2012,1,albert_park
22,rosa,hrt,23.0,0.0,157.642,Did not qualify,0.0,2012,1,albert_park
23,karthikeyan,hrt,24.0,0.0,157.642,Did not qualify,0.0,2012,1,albert_park
5,alonso,ferrari,1.0,8.0,0.0,Finished,25.0,2012,2,sepang
15,perez,sauber,2.0,9.0,2.263,Finished,18.0,2012,2,sepang
4,hamilton,mclaren,3.0,1.0,14.591,Finished,15.0,2012,2,sepang
2,webber,red_bull,4.0,4.0,17.688,Finished,12.0,2012,2,sepang
9,raikkonen,lotus_f1,5.0,10.0,29.456,Finished,10.0,2012,2,sepang
19,bruno_senna,williams,6.0,13.0,37.667,Finished,8.0,2012,2,sepang
11,resta,force_india,7.0,14.0,44.412,Finished,6.0,2012,2,sepang
17,vergne,toro_rosso,8.0,18.0,46.985,Finished,4.0,2012,2,sepang
12,hulkenberg,force_india,9.0,16.0,47.892,Finished,2.0,2012,2,sepang
7,michael_schumacher,mercedes,10.0,3.0,49.996,Finished,1.0,2012,2,sepang
1,vettel,red_bull,11.0,5.0,75.527,Finished,0.0,2012,2,sepang
16,ricciardo,toro_rosso,12.0,15.0,76.828,Finished,0.0,2012,2,sepang
8,rosberg,mercedes,13.0,7.0,78.593,Finished,0.0,2012,2,sepang
3,button,mclaren,14.0,2.0,79.719,Finished,0.0,2012,2,sepang
6,massa,ferrari,15.0,12.0,97.319,Finished,0.0,2012,2,sepang
21,petrov,caterham,16.0,19.0,197.31900000000002,+1 Lap,0.0,2012,2,sepang
24,glock,marussia,17.0,20.0,197.31900000000002,+1 Lap,0.0,2012,2,sepang
20,kovalainen,caterham,18.0,24.0,197.31900000000002,+1 Lap,0.0,2012,2,sepang
18,maldonado,williams,19.0,11.0,197.31900000000002,Engine,0.0,2012,2,sepang
25,pic,marussia,20.0,21.0,197.31900000000002,+2 Laps,0.0,2012,2,sepang
23,karthikeyan,hrt,21.0,23.0,197.31900000000002,+2 Laps,0.0,2012,2,sepang
22,rosa,hrt,22.0,22.0,197.31900000000002,+2 Laps,0.0,2012,2,sepang
14,kobayashi,sauber,23.0,17.0,197.31900000000002,Retired,0.0,2012,2,sepang
10,grosjean,lotus_f1,24.0,6.0,197.31900000000002,Collision,0.0,2012,2,sepang
8,rosberg,mercedes,1.0,1.0,0.0,Finished,25.0,2012,3,shanghai
3,button,mclaren,2.0,5.0,20.626,Finished,18.0,2012,3,shanghai
4,hamilton,mclaren,3.0,7.0,26.012,Finished,15.0,2012,3,shanghai
2,webber,red_bull,4.0,6.0,27.924,Finished,12.0,2012,3,shanghai
1,vettel,red_bull,5.0,11.0,30.483,Finished,10.0,2012,3,shanghai
10,grosjean,lotus_f1,6.0,10.0,31.491,Finished,8.0,2012,3,shanghai
