DriverNumber,DriverId,TeamId,Position,GridPosition,Time,Status,Points,season,round,circuitId
6,rosberg,mercedes,1.0,2.0,0.0,Finished,25.0,2016,1,albert_park
44,hamilton,mercedes,2.0,1.0,8.06,Finished,18.0,2016,1,albert_park
5,vettel,ferrari,3.0,3.0,9.643,Finished,15.0,2016,1,albert_park
3,ricciardo,red_bull,4.0,8.0,24.33,Finished,12.0,2016,1,albert_park
19,massa,williams,5.0,6.0,58.979,Finished,10.0,2016,1,albert_park
8,grosjean,haas,6.0,19.0,72.081,Finished,8.0,2016,1,albert_park
27,hulkenberg,force_india,7.0,10.0,74.199,Finished,6.0,2016,1,albert_park
77,bottas,williams,8.0,16.0,75.153,Finished,4.0,2016,1,albert_park
55,sainz,toro_rosso,9.0,7.0,75.68,Finished,2.0,2016,1,albert_park
33,max_verstappen,toro_rosso,10.0,5.0,76.833,Finished,1.0,2016,1,albert_park
30,jolyon_palmer,renault,11.0,13.0,83.399,Finished,0.0,2016,1,albert_park
20,kevin_magnussen,renault,12.0,14.0,85.606,Finished,0.0,2016,1,albert_park
11,perez,force_india,13.0,9.0,91.699,Finished,0.0,2016,1,albert_park
22,button,mclaren,14.0,12.0,191.699,+1 Lap,0.0,2016,1,albert_park
12,nasr,sauber,15.0,17.0,191.699,+1 Lap,0.0,2016,1,albert_park
94,wehrlein,manor,16.0,21.0,191.699,+1 Lap,0.0,2016,1,albert_park
9,ericsson,sauber,17.0,15.0,191.699,Engine,0.0,2016,1,albert_park
7,raikkonen,ferrari,18.0,4.0,191.699,Engine,0.0,2016,1,albert_park
88,haryanto,manor,19.0,22.0,191.699,Mechanical,0.0,2016,1,albert_park
21,gutierrez,haas,20.0,20.0,191.699,Collision,0.0,2016,1,albert_park
14,alonso,mclaren,21.0,11.0,191.699,Collision,0.0,2016,1,albert_park
26,kvyat,red_bull,22.0,18.0,191.699,Retired,0.0,2016,1,albert_park
6,rosberg,mercedes,1.0,2.0,0.0,Finished,25.0,2016,2,bahrain
7,raikkonen,ferrari,2.0,4.0,10.282,Finished,18.0,2016,2,bahrain
44,hamilton,mercedes,3.0,1.0,30.148,Finished,15.0,2016,2,bahrain
3,ricciardo,red_bull,4.0,5.0,62.494,Finished,12.0,2016,2,bahrain
8,grosjean,haas,5.0,9.0,78.299,Finished,10.0,2016,2,bahrain
33,max_verstappen,toro_rosso,6.0,10.0,80.929,Finished,8.0,2016,2,bahrain
26,kvyat,red_bull,7.0,15.0,180.929,+1 Lap,6.0,2016,2,bahrain
19,massa,williams,8.0,7.0,180.929,+1 Lap,4.0,2016,2,bahrain
77,bottas,williams,9.0,6.0,180.929,+1 Lap,2.0,2016,2,bahrain
47,vandoorne,mclaren,10.0,12.0,180.929,+1 Lap,1.0,2016,2,bahrain
20,kevin_magnussen,renault,11.0,22.0,180.929,+1 Lap,0.0,2016,2,bahrain
9,ericsson,sauber,12.0,17.0,180.929,+1 Lap,0.0,2016,2,bahrain
94,wehrlein,manor,13.0,16.0,180.929,+1 Lap,0.0,2016,2,bahrain
12,nasr,sauber,14.0,21.0,180.929,+1 Lap,0.0,2016,2,bahrain
27,hulkenberg,force_india,15.0,8.0,180.929,+1 Lap,0.0,2016,2,bahrain
11,perez,force_india,16.0,18.0,180.929,+1 Lap,0.0,2016,2,bahrain
88,haryanto,manor,17.0,20.0,180.929,+1 Lap,0.0,2016,2,bahrain
55,sainz,toro_rosso,18.0,11.0,180.929,Retired,0.0,2016,2,bahrain
21,gutierrez,haas,19.0,13.0,180.929,Retired,0.0,2016,2,bahrain
22,button,mclaren,20.0,14.0,180.929,Power Unit,0.0,2016,2,bahrain
5,vettel,ferrari,21.0,3.0,180.929,Engine,0.0,2016,2,bahrain
30,jolyon_palmer,renault,22.0,19.0,180.929,Hydraulics,0.0,2016,2,bahrain
6,rosberg,mercedes,1.0,1.0,0.0,Finished,25.0,2016,3,shanghai
5,vettel,ferrari,2.0,4.0,37.776,Finished,18.0,2016,3,shanghai
26,kvyat,red_bull,3.0,6.0,45.936,Finished,15.0,2016,3,shanghai
3,ricciardo,red_bull,4.0,2.0,52.688,Finished,12.0,2016,3,shanghai
7,raikkonen,ferrari,5.0,3.0,65.872,Finished,10.0,2016,3,shanghai
19,massa,williams,6.0,10.0,75.511,Finished,8.0,2016,3,shanghai
44,hamilton,mercedes,7.0,22.0,78.23,Finished,6.0,2016,3,shanghai
33,max_verstappen,toro_rosso,8.0,9.0,79.268,Finished,4.0,2016,3,shanghai
55,sainz,toro_rosso,9.0,8.0,84.127,Finished,2.0,2016,3,shanghai
77,bottas,williams,10.0,5.0,86.192,Finished,1.0,2016,3,shanghai
11,perez,force_india,11.0,7.0,94.283,Finished,0.0,2016,3,shanghai
14,alonso,mclaren,12.0,11.0,97.253,Finished,0.0,2016,3,shanghai
22,button,mclaren,13.0,12.0,101.99,Finished,0.0,2016,3,shanghai
21,gutierrez,haas,14.0,18.0,201.99,+1 Lap,0.0,2016,3,shanghai
27,hulkenberg,force_india,15.0,13.0,201.99,+1 Lap,0.0,2016,3,shanghai
9,ericsson,sauber,16.0,15.0,201.99,+1 Lap,0.0,2016,3,shanghai
20,kevin_magnussen,renault,17.0,17.0,201.99,+1 Lap,0.0,2016,3,shanghai
94,wehrlein,manor,18.0,21.0,201.99,+1 Lap,0.0,2016,3,shanghai
8,grosjean,haas,19.0,14.0,201.99,+1 Lap,0.0,2016,3,shanghai
12,nasr,sauber,20.0,16.0,201.99,+1 Lap,0.0,2016,3,shanghai
88,haryanto,manor,21.0,20.0,201.99,+1 Lap,0.0,2016,3,shanghai
