,DriverId,TeamId,Position,GridPosition,Time,Status,Points,season,round,circuitId
77,bottas,mercedes,1.0,2.0,0.0,Finished,26.0,2019,1,albert_park
44,hamilton,mercedes,2.0,1.0,20.886,Finished,18.0,2019,1,albert_park
33,max_verstappen,red_bull,3.0,4.0,22.52,Finished,15.0,2019,1,albert_park
5,vettel,ferrari,4.0,3.0,57.109,Finished,12.0,2019,1,albert_park
16,leclerc,ferrari,5.0,5.0,58.203,Finished,10.0,2019,1,albert_park
20,kevin_magnussen,haas,6.0,7.0,87.156,Finished,8.0,2019,1,albert_park
27,hulkenberg,renault,7.0,11.0,187.156,+1 Lap,6.0,2019,1,albert_park
7,raikkonen,alfa,8.0,9.0,187.156,+1 Lap,4.0,2019,1,albert_park
18,stroll,racing_point,9.0,16.0,187.156,+1 Lap,2.0,2019,1,albert_park
26,kvyat,toro_rosso,10.0,15.0,187.156,+1 Lap,1.0,2019,1,albert_park
10,gasly,red_bull,11.0,17.0,187.156,+1 Lap,0.0,2019,1,albert_park
4,norris,mclaren,12.0,8.0,187.156,+1 Lap,0.0,2019,1,albert_park
11,perez,racing_point,13.0,10.0,187.156,+1 Lap,0.0,2019,1,albert_park
23,albon,toro_rosso,14.0,13.0,187.156,+1 Lap,0.0,2019,1,albert_park
99,giovinazzi,alfa,15.0,14.0,187.156,+1 Lap,0.0,2019,1,albert_park
63,russell,williams,16.0,19.0,187.156,+2 Laps,0.0,2019,1,albert_park
88,kubica,williams,17.0,20.0,187.156,+3 Laps,0.0,2019,1,albert_park
8,grosjean,haas,18.0,6.0,187.156,Wheel,0.0,2019,1,albert_park
3,ricciardo,renault,19.0,12.0,187.156,Damage,0.0,2019,1,albert_park
55,sainz,mclaren,20.0,18.0,187.156,Engine,0.0,2019,1,albert_park
44,hamilton,mercedes,1.0,3.0,0.0,Finished,25.0,2019,2,bahrain
77,bottas,mercedes,2.0,4.0,2.98,Finished,18.0,2019,2,bahrain
16,leclerc,ferrari,3.0,1.0,6.131,Finished,16.0,2019,2,bahrain
33,max_verstappen,red_bull,4.0,5.0,6.408,Finished,12.0,2019,2,bahrain
5,vettel,ferrari,5.0,2.0,36.068,Finished,10.0,2019,2,bahrain
4,norris,mclaren,6.0,9.0,45.754,Finished,8.0,2019,2,bahrain
7,raikkonen,alfa,7.0,8.0,47.47,Finished,6.0,2019,2,bahrain
10,gasly,red_bull,8.0,13.0,58.094,Finished,4.0,2019,2,bahrain
23,albon,toro_rosso,9.0,12.0,62.697,Finished,2.0,2019,2,bahrain
11,perez,racing_point,10.0,14.0,63.696,Finished,1.0,2019,2,bahrain
99,giovinazzi,alfa,11.0,16.0,64.599,Finished,0.0,2019,2,bahrain
26,kvyat,toro_rosso,12.0,15.0,164.599,+1 Lap,0.0,2019,2,bahrain
20,kevin_magnussen,haas,13.0,6.0,164.599,+1 Lap,0.0,2019,2,bahrain
18,stroll,racing_point,14.0,18.0,164.599,+1 Lap,0.0,2019,2,bahrain
63,russell,williams,15.0,19.0,164.599,+1 Lap,0.0,2019,2,bahrain
88,kubica,williams,16.0,20.0,164.599,+2 Laps,0.0,2019,2,bahrain
27,hulkenberg,renault,17.0,17.0,164.599,Engine,0.0,2019,2,bahrain
3,ricciardo,renault,18.0,10.0,164.599,Out of fuel,0.0,2019,2,bahrain
55,sainz,mclaren,19.0,7.0,164.599,Collision damage,0.0,2019,2,bahrain
8,grosjean,haas,20.0,11.0,164.599,Retired,0.0,2019,2,bahrain
44,hamilton,mercedes,1.0,2.0,0.0,Finished,25.0,2019,3,shanghai
77,bottas,mercedes,2.0,1.0,6.552,Finished,18.0,2019,3,shanghai
5,vettel,ferrari,3.0,3.0,13.774,Finished,15.0,2019,3,shanghai
33,max_verstappen,red_bull,4.0,5.0,27.627,Finished,12.0,2019,3,shanghai
16,leclerc,ferrari,5.0,4.0,31.276,Finished,10.0,2019,3,shanghai
10,gasly,red_bull,6.0,6.0,89.307,Finished,9.0,2019,3,shanghai
3,ricciardo,renault,7.0,7.0,189.30700000000002,+1 Lap,6.0,2019,3,shanghai
11,perez,racing_point,8.0,12.0,189.30700000000002,+1 Lap,4.0,2019,3,shanghai
7,raikkonen,alfa,9.0,13.0,189.30700000000002,+1 Lap,2.0,2019,3,shanghai
23,albon,toro_rosso,10.0,0.0,189.30700000000002,+1 Lap,1.0,2019,3,shanghai
8,grosjean,haas,11.0,10.0,189.30700000000002,+1 Lap,0.0,2019,3,shanghai
18,stroll,racing_point,12.0,16.0,189.30700000000002,+1 Lap,0.0,2019,3,shanghai
20,kevin_magnussen,haas,13.0,9.0,189.30700000000002,+1 Lap,0.0,2019,3,shanghai
55,sainz,mclaren,14.0,14.0,189.30700000000002,+1 Lap,0.0,2019,3,shanghai
99,giovinazzi,alfa,15.0,19.0,189.30700000000002,+1 Lap,0.0,2019,3,shanghai
63,russell,williams,16.0,17.0,189.30700000000002,+2 Laps,0.0,2019,3,shanghai
88,kubica,williams,17.0,18.0,189.30700000000002,+2 Laps,0.0,2019,3,shanghai
4,norris,mclaren,18.0,15.0,189.30700000000002,Collision,0.0,2019,3,shanghai
26,kvyat,toro_rosso,19.0,11.0,189.30700000000002,Collision,0.0,2019,3,shanghai
27,hulkenberg,renault,20.0,8.0,189.30700000000002,Power Unit,0.0,2019,3,shanghai
77,bottas,mercedes,1.0,1.0,0.0,Finished,25.0,2019,4,baku
44,hamilton,mercedes,2.0,2.0,1.524,Finished,18.0,2019,4,baku
5,vettel,ferrari,3.0,3.0,11.739,Finished,15.0,2019,4,baku
33,max_verstappen,red_bull,4.0,4.0,17.493,Finished,12.0,2019,4,baku
16,leclerc,ferrari,5.0,8.0,69.107,Finished,11.0,2019,4,baku
11,perez,racing_point,6.0,5.0,76.416,Finished,8.0,2019,4,baku
55,sainz,mclaren,7.0,9.0,83.826,Finished,6.0,2019,4,baku
4,norris,mclaren,8.0,7.0,100.268,Finished,4.0,2019,4,baku
18,stroll,racing_point,9.0,13.0,103.816,Finished,2.0,2019,4,baku
7,raikkonen,alfa,10.0,0.0,203.816,+1 Lap,1.0,2019,4,baku
