,DriverId,TeamId,Position,GridPosition,Time,Status,Points,season,round,circuitId
16,leclerc,ferrari,1.0,1.0,0.0,Finished,26.0,2022,1,bahrain
55,sainz,ferrari,2.0,3.0,5.598,Finished,18.0,2022,1,bahrain
44,hamilton,mercedes,3.0,5.0,9.675,Finished,15.0,2022,1,bahrain
63,russell,mercedes,4.0,9.0,11.211,Finished,12.0,2022,1,bahrain
20,kevin_magnussen,haas,5.0,7.0,14.754,Finished,10.0,2022,1,bahrain
77,bottas,alfa,6.0,6.0,16.119,Finished,8.0,2022,1,bahrain
31,ocon,alpine,7.0,11.0,19.423,Finished,6.0,2022,1,bahrain
22,tsunoda,alphatauri,8.0,16.0,20.386,Finished,4.0,2022,1,bahrain
14,alonso,alpine,9.0,8.0,22.39,Finished,2.0,2022,1,bahrain
24,zhou,alfa,10.0,15.0,23.064,Finished,1.0,2022,1,bahrain
47,mick_schumacher,haas,11.0,12.0,32.574,Finished,0.0,2022,1,bahrain
18,stroll,aston_martin,12.0,19.0,45.873,Finished,0.0,2022,1,bahrain
23,albon,williams,13.0,14.0,53.932,Finished,0.0,2022,1,bahrain
3,ricciardo,mclaren,14.0,18.0,54.975,Finished,0.0,2022,1,bahrain
4,norris,mclaren,15.0,13.0,56.335,Finished,0.0,2022,1,bahrain
6,latifi,williams,16.0,20.0,61.795,Finished,0.0,2022,1,bahrain
27,hulkenberg,aston_martin,17.0,17.0,63.829,Finished,0.0,2022,1,bahrain
11,perez,red_bull,18.0,4.0,163.829,Fuel pressure,0.0,2022,1,bahrain
1,max_verstappen,red_bull,19.0,2.0,163.829,Fuel pressure,0.0,2022,1,bahrain
10,gasly,alphatauri,20.0,10.0,163.829,Power Unit,0.0,2022,1,bahrain
1,max_verstappen,red_bull,1.0,4.0,0.0,Finished,25.0,2022,2,jeddah
16,leclerc,ferrari,2.0,2.0,0.549,Finished,19.0,2022,2,jeddah
55,sainz,ferrari,3.0,3.0,8.097,Finished,15.0,2022,2,jeddah
11,perez,red_bull,4.0,1.0,10.8,Finished,12.0,2022,2,jeddah
63,russell,mercedes,5.0,6.0,32.732,Finished,10.0,2022,2,jeddah
31,ocon,alpine,6.0,5.0,56.017,Finished,8.0,2022,2,jeddah
4,norris,mclaren,7.0,11.0,56.124,Finished,6.0,2022,2,jeddah
10,gasly,alphatauri,8.0,9.0,62.946,Finished,4.0,2022,2,jeddah
20,kevin_magnussen,haas,9.0,10.0,64.308,Finished,2.0,2022,2,jeddah
44,hamilton,mercedes,10.0,15.0,73.948,Finished,1.0,2022,2,jeddah
24,zhou,alfa,11.0,12.0,82.215,Finished,0.0,2022,2,jeddah
27,hulkenberg,aston_martin,12.0,17.0,91.742,Finished,0.0,2022,2,jeddah
18,stroll,aston_martin,13.0,13.0,191.74200000000002,+1 Lap,0.0,2022,2,jeddah
23,albon,williams,14.0,16.0,191.74200000000002,Collision damage,0.0,2022,2,jeddah
77,bottas,alfa,15.0,8.0,191.74200000000002,Cooling system,0.0,2022,2,jeddah
14,alonso,alpine,16.0,7.0,191.74200000000002,Water pump,0.0,2022,2,jeddah
3,ricciardo,mclaren,17.0,14.0,191.74200000000002,Gearbox,0.0,2022,2,jeddah
6,latifi,williams,18.0,18.0,191.74200000000002,Accident,0.0,2022,2,jeddah
22,tsunoda,alphatauri,19.0,19.0,191.74200000000002,Power Unit,0.0,2022,2,jeddah
47,mick_schumacher,haas,,,191.74200000000002,Withdrew,0.0,2022,2,jeddah
16,leclerc,ferrari,1.0,1.0,0.0,Finished,26.0,2022,3,albert_park
11,perez,red_bull,2.0,3.0,20.524,Finished,18.0,2022,3,albert_park
63,russell,mercedes,3.0,6.0,25.593,Finished,15.0,2022,3,albert_park
44,hamilton,mercedes,4.0,5.0,28.543,Finished,12.0,2022,3,albert_park
4,norris,mclaren,5.0,4.0,53.303,Finished,10.0,2022,3,albert_park
3,ricciardo,mclaren,6.0,7.0,53.737,Finished,8.0,2022,3,albert_park
31,ocon,alpine,7.0,8.0,61.683,Finished,6.0,2022,3,albert_park
77,bottas,alfa,8.0,12.0,68.439,Finished,4.0,2022,3,albert_park
10,gasly,alphatauri,9.0,11.0,76.221,Finished,2.0,2022,3,albert_park
23,albon,williams,10.0,20.0,79.382,Finished,1.0,2022,3,albert_park
24,zhou,alfa,11.0,14.0,81.695,Finished,0.0,2022,3,albert_park
18,stroll,aston_martin,12.0,19.0,88.598,Finished,0.0,2022,3,albert_park
47,mick_schumacher,haas,13.0,15.0,188.598,+1 Lap,0.0,2022,3,albert_park
20,kevin_magnussen,haas,14.0,16.0,188.598,+1 Lap,0.0,2022,3,albert_park
22,tsunoda,alphatauri,15.0,13.0,188.598,+1 Lap,0.0,2022,3,albert_park
6,latifi,williams,16.0,18.0,188.598,+1 Lap,0.0,2022,3,albert_park
14,alonso,alpine,17.0,10.0,188.598,+1 Lap,0.0,2022,3,albert_park
1,max_verstappen,red_bull,18.0,2.0,188.598,Fuel leak,0.0,2022,3,albert_park
5,vettel,aston_martin,19.0,17.0,188.598,Accident,0.0,2022,3,albert_park
55,sainz,ferrari,20.0,9.0,188.598,Spun off,0.0,2022,3,albert_park
1,max_verstappen,red_bull,1.0,1.0,0.0,Finished,26.0,2022,4,imola
11,perez,red_bull,2.0,3.0,16.527,Finished,18.0,2022,4,imola
4,norris,mclaren,3.0,5.0,34.834,Finished,15.0,2022,4,imola
63,russell,mercedes,4.0,11.0,42.506,Finished,12.0,2022,4,imola
77,bottas,alfa,5.0,7.0,43.181,Finished,10.0,2022,4,imola
16,leclerc,ferrari,6.0,2.0,56.072,Finished,8.0,2022,4,imola
22,tsunoda,alphatauri,7.0,12.0,61.11,Finished,6.0,2022,4,imola
5,vettel,aston_martin,8.0,13.0,70.892,Finished,4.0,2022,4,imola
20,kevin_magnussen,haas,9.0,8.0,75.26,Finished,2.0,2022,4,imola
18,stroll,aston_martin,10.0,15.0,175.26,+1 Lap,1.0,2022,4,imola
23,albon,williams,11.0,18.0,175.26,+1 Lap,0.0,2022,4,imola
10,gasly,alphatauri,12.0,17.0,175.26,+1 Lap,0.0,2022,4,imola
44,hamilton,mercedes,13.0,14.0,175.26,+1 Lap,0.0,2022,4,imola
31,ocon,alpine,14.0,16.0,175.26,+1 Lap,0.0,2022,4,imola
24,zhou,alfa,15.0,0.0,175.26,+1 Lap,0.0,2022,4,imola
6,latifi,williams,16.0,19.0,175.26,+1 Lap,0.0,2022,4,imola
47,mick_schumacher,haas,17.0,10.0,175.26,+1 Lap,0.0,2022,4,imola
3,ricciardo,mclaren,18.0,6.0,175.26,+1 Lap,0.0,2022,4,imola
14,alonso,alpine,19.0,9.0,175.26,Collision damage,0.0,2022,4,imola
55,sainz,ferrari,20.0,4.0,175.26,Collision,0.0,2022,4,imola
1,max_verstappen,red_bull,1.0,3.0,0.0,Finished,26.0,2022,5,miami
16,leclerc,ferrari,2.0,1.0,3.786,Finished,18.0,2022,5,miami
55,sainz,ferrari,3.0,2.0,8.229,Finished,15.0,2022,5,miami
11,perez,red_bull,4.0,4.0,10.638,Finished,12.0,2022,5,miami
63,russell,mercedes,5.0,12.0,18.582,Finished,10.0,2022,5,miami
44,hamilton,mercedes,6.0,6.0,21.368,Finished,8.0,2022,5,miami
77,bottas,alfa,7.0,5.0,25.073,Finished,6.0,2022,5,miami
31,ocon,alpine,8.0,20.0,28.386,Finished,4.0,2022,5,miami
23,albon,williams,9.0,18.0,32.365,Finished,2.0,2022,5,miami
18,stroll,aston_martin,10.0,0.0,37.026,Finished,1.0,2022,5,miami
14,alonso,alpine,11.0,11.0,37.128,Finished,0.0,2022,5,miami
22,tsunoda,alphatauri,12.0,9.0,40.146,Finished,0.0,2022,5,miami
3,ricciardo,mclaren,13.0,14.0,40.902,Finished,0.0,2022,5,miami
6,latifi,williams,14.0,19.0,49.936,Finished,0.0,2022,5,miami
47,mick_schumacher,haas,15.0,15.0,73.305,Finished,0.0,2022,5,miami
20,kevin_magnussen,haas,16.0,16.0,173.305,Front wing,0.0,2022,5,miami
5,vettel,aston_martin,17.0,0.0,173.305,Collision,0.0,2022,5,miami
10,gasly,alphatauri,18.0,7.0,173.305,Suspension,0.0,2022,5,miami
4,norris,mclaren,19.0,8.0,173.305,Collision,0.0,2022,5,miami
24,zhou,alfa,20.0,17.0,173.305,Water leak,0.0,2022,5,miami
1,max_verstappen,red_bull,1.0,2.0,0.0,Finished,25.0,2022,6,catalunya
11,perez,red_bull,2.0,5.0,13.072,Finished,19.0,2022,6,catalunya
63,russell,mercedes,3.0,4.0,32.927,Finished,15.0,2022,6,catalunya
55,sainz,ferrari,4.0,3.0,45.208,Finished,12.0,2022,6,catalunya
44,hamilton,mercedes,5.0,6.0,54.534,Finished,10.0,2022,6,catalunya
77,bottas,alfa,6.0,7.0,59.976,Finished,8.0,2022,6,catalunya
31,ocon,alpine,7.0,12.0,75.397,Finished,6.0,2022,6,catalunya
4,norris,mclaren,8.0,11.0,83.235,Finished,4.0,2022,6,catalunya
14,alonso,alpine,9.0,20.0,183.235,+1 Lap,2.0,2022,6,catalunya
22,tsunoda,alphatauri,10.0,13.0,183.235,+1 Lap,1.0,2022,6,catalunya
5,vettel,aston_martin,11.0,16.0,183.235,+1 Lap,0.0,2022,6,catalunya
3,ricciardo,mclaren,12.0,9.0,183.235,+1 Lap,0.0,2022,6,catalunya
10,gasly,alphatauri,13.0,14.0,183.235,+1 Lap,0.0,2022,6,catalunya
47,mick_schumacher,haas,14.0,10.0,183.235,+1 Lap,0.0,2022,6,catalunya
18,stroll,aston_martin,15.0,17.0,183.235,+1 Lap,0.0,2022,6,catalunya
6,latifi,williams,16.0,19.0,183.235,+2 Laps,0.0,2022,6,catalunya
20,kevin_magnussen,haas,17.0,8.0,183.235,+2 Laps,0.0,2022,6,catalunya
23,albon,williams,18.0,18.0,183.235,+2 Laps,0.0,2022,6,catalunya
24,zhou,alfa,19.0,15.0,183.235,Power loss,0.0,2022,6,catalunya
16,leclerc,ferrari,20.0,1.0,183.235,Turbo,0.0,2022,6,catalunya
11,perez,red_bull,1.0,3.0,0.0,Finished,25.0,2022,7,monaco
55,sainz,ferrari,2.0,2.0,1.154,Finished,18.0,2022,7,monaco
1,max_verstappen,red_bull,3.0,4.0,1.491,Finished,15.0,2022,7,monaco
