DriverNumber,DriverId,TeamId,Position,GridPosition,Time,Status,Points,season,round,circuitId
5,vettel,ferrari,1.0,2.0,0.0,Finished,25.0,2017,1,albert_park
44,hamilton,mercedes,2.0,1.0,9.975,Finished,18.0,2017,1,albert_park
77,bottas,mercedes,3.0,3.0,11.25,Finished,15.0,2017,1,albert_park
7,raikkonen,ferrari,4.0,4.0,22.393,Finished,12.0,2017,1,albert_park
33,max_verstappen,red_bull,5.0,5.0,28.827,Finished,10.0,2017,1,albert_park
19,massa,williams,6.0,7.0,83.386,Finished,8.0,2017,1,albert_park
11,perez,force_india,7.0,10.0,183.386,+1 Lap,6.0,2017,1,albert_park
55,sainz,toro_rosso,8.0,8.0,183.386,+1 Lap,4.0,2017,1,albert_park
26,kvyat,toro_rosso,9.0,9.0,183.386,+1 Lap,2.0,2017,1,albert_park
31,ocon,force_india,10.0,13.0,183.386,+1 Lap,1.0,2017,1,albert_park
27,hulkenberg,renault,11.0,11.0,183.386,+1 Lap,0.0,2017,1,albert_park
36,giovinazzi,sauber,12.0,16.0,183.386,+2 Laps,0.0,2017,1,albert_park
2,vandoorne,mclaren,13.0,18.0,183.386,+2 Laps,0.0,2017,1,albert_park
14,alonso,mclaren,14.0,12.0,183.386,Vibrations,0.0,2017,1,albert_park
20,kevin_magnussen,haas,15.0,17.0,183.386,Suspension,0.0,2017,1,albert_park
18,stroll,williams,16.0,20.0,183.386,Brakes,0.0,2017,1,albert_park
3,ricciardo,red_bull,17.0,0.0,183.386,Power Unit,0.0,2017,1,albert_park
9,ericsson,sauber,18.0,14.0,183.386,Hydraulics,0.0,2017,1,albert_park
30,jolyon_palmer,renault,19.0,19.0,183.386,Brakes,0.0,2017,1,albert_park
8,grosjean,haas,20.0,6.0,183.386,Water leak,0.0,2017,1,albert_park
44,hamilton,mercedes,1.0,1.0,0.0,Finished,25.0,2017,2,shanghai
5,vettel,ferrari,2.0,2.0,6.25,Finished,18.0,2017,2,shanghai
33,max_verstappen,red_bull,3.0,16.0,45.192,Finished,15.0,2017,2,shanghai
3,ricciardo,red_bull,4.0,5.0,46.035,Finished,12.0,2017,2,shanghai
7,raikkonen,ferrari,5.0,4.0,48.076,Finished,10.0,2017,2,shanghai
77,bottas,mercedes,6.0,3.0,48.808,Finished,8.0,2017,2,shanghai
