,DriverId,TeamId,Position,GridPosition,Time,Status,Points,season,round,circuitId
77,bottas,mercedes,1.0,1.0,0.0,Finished,25.0,2020,1,red_bull_ring
16,leclerc,ferrari,2.0,7.0,2.7,Finished,18.0,2020,1,red_bull_ring
4,norris,mclaren,3.0,3.0,5.491,Finished,16.0,2020,1,red_bull_ring
44,hamilton,mercedes,4.0,5.0,5.689,Finished,12.0,2020,1,red_bull_ring
55,sainz,mclaren,5.0,8.0,8.903,Finished,10.0,2020,1,red_bull_ring
11,perez,racing_point,6.0,6.0,15.092,Finished,8.0,2020,1,red_bull_ring
10,gasly,alphatauri,7.0,12.0,16.682,Finished,6.0,2020,1,red_bull_ring
31,ocon,renault,8.0,14.0,17.456,Finished,4.0,2020,1,red_bull_ring
99,giovinazzi,alfa,9.0,18.0,21.146,Finished,2.0,2020,1,red_bull_ring
5,vettel,ferrari,10.0,11.0,24.545,Finished,1.0,2020,1,red_bull_ring
6,latifi,williams,11.0,20.0,31.65,Finished,0.0,2020,1,red_bull_ring
26,kvyat,alphatauri,12.0,13.0,131.65,Suspension,0.0,2020,1,red_bull_ring
23,albon,red_bull,13.0,4.0,131.65,Electronics,0.0,2020,1,red_bull_ring
7,raikkonen,alfa,14.0,19.0,131.65,Wheel,0.0,2020,1,red_bull_ring
63,russell,williams,15.0,17.0,131.65,Fuel pressure,0.0,2020,1,red_bull_ring
8,grosjean,haas,16.0,15.0,131.65,Brakes,0.0,2020,1,red_bull_ring
20,kevin_magnussen,haas,17.0,16.0,131.65,Brakes,0.0,2020,1,red_bull_ring
18,stroll,racing_point,18.0,9.0,131.65,Engine,0.0,2020,1,red_bull_ring
3,ricciardo,renault,19.0,10.0,131.65,Overheating,0.0,2020,1,red_bull_ring
33,max_verstappen,red_bull,20.0,2.0,131.65,Electronics,0.0,2020,1,red_bull_ring
44,hamilton,mercedes,1.0,1.0,0.0,Finished,25.0,2020,2,red_bull_ring
77,bottas,mercedes,2.0,4.0,13.719,Finished,18.0,2020,2,red_bull_ring
33,max_verstappen,red_bull,3.0,2.0,33.698,Finished,15.0,2020,2,red_bull_ring
