DriverNumber,DriverId,TeamId,Position,GridPosition,Time,Status,Points,season,round,circuitId
44,hamilton,mercedes,1.0,1.0,0.0,Finished,25.0,2015,1,albert_park
6,rosberg,mercedes,2.0,2.0,1.36,Finished,18.0,2015,1,albert_park
5,vettel,ferrari,3.0,4.0,34.523,Finished,15.0,2015,1,albert_park
19,massa,williams,4.0,3.0,38.196,Finished,12.0,2015,1,albert_park
12,nasr,sauber,5.0,10.0,95.149,Finished,10.0,2015,1,albert_park
3,ricciardo,red_bull,6.0,6.0,195.149,+1 Lap,8.0,2015,1,albert_park
27,hulkenberg,force_india,7.0,13.0,195.149,+1 Lap,6.0,2015,1,albert_park
9,ericsson,sauber,8.0,15.0,195.149,+1 Lap,4.0,2015,1,albert_park
55,sainz,toro_rosso,9.0,7.0,195.149,+1 Lap,2.0,2015,1,albert_park
11,perez,force_india,10.0,14.0,195.149,+1 Lap,1.0,2015,1,albert_park
22,button,mclaren,11.0,16.0,195.149,+2 Laps,0.0,2015,1,albert_park
7,raikkonen,ferrari,12.0,5.0,195.149,Wheel,0.0,2015,1,albert_park
33,max_verstappen,toro_rosso,13.0,11.0,195.149,Engine,0.0,2015,1,albert_park
8,grosjean,lotus_f1,14.0,8.0,195.149,Power loss,0.0,2015,1,albert_park
13,maldonado,lotus_f1,15.0,9.0,195.149,Accident,0.0,2015,1,albert_park
26,kvyat,red_bull,16.0,12.0,195.149,Withdrew,0.0,2015,1,albert_park
20,kevin_magnussen,mclaren,17.0,17.0,195.149,Withdrew,0.0,2015,1,albert_park
77,bottas,williams,18.0,0.0,195.149,Withdrew,0.0,2015,1,albert_park
5,vettel,ferrari,1.0,2.0,0.0,Finished,25.0,2015,2,sepang
44,hamilton,mercedes,2.0,1.0,8.569,Finished,18.0,2015,2,sepang
6,rosberg,mercedes,3.0,3.0,12.31,Finished,15.0,2015,2,sepang
7,raikkonen,ferrari,4.0,11.0,53.822,Finished,12.0,2015,2,sepang
77,bottas,williams,5.0,8.0,70.409,Finished,10.0,2015,2,sepang
19,massa,williams,6.0,7.0,73.586,Finished,8.0,2015,2,sepang
33,max_verstappen,toro_rosso,7.0,6.0,97.762,Finished,6.0,2015,2,sepang
55,sainz,toro_rosso,8.0,15.0,197.762,+1 Lap,4.0,2015,2,sepang
26,kvyat,red_bull,9.0,5.0,197.762,+1 Lap,2.0,2015,2,sepang
3,ricciardo,red_bull,10.0,4.0,197.762,+1 Lap,1.0,2015,2,sepang
8,grosjean,lotus_f1,11.0,10.0,197.762,+1 Lap,0.0,2015,2,sepang
12,nasr,sauber,12.0,16.0,197.762,+1 Lap,0.0,2015,2,sepang
11,perez,force_india,13.0,14.0,197.762,+1 Lap,0.0,2015,2,sepang
27,hulkenberg,force_india,14.0,13.0,197.762,+1 Lap,0.0,2015,2,sepang
98,merhi,manor,15.0,19.0,197.762,+3 Laps,0.0,2015,2,sepang
13,maldonado,lotus_f1,16.0,12.0,197.762,Retired,0.0,2015,2,sepang
22,button,mclaren,17.0,17.0,197.762,Turbo,0.0,2015,2,sepang
14,alonso,mclaren,18.0,18.0,197.762,ERS,0.0,2015,2,sepang
9,ericsson,sauber,19.0,9.0,197.762,Spun off,0.0,2015,2,sepang
28,stevens,manor,20.0,0.0,197.762,Fuel system,0.0,2015,2,sepang
44,hamilton,mercedes,1.0,1.0,0.0,Finished,25.0,2015,3,shanghai
6,rosberg,mercedes,2.0,2.0,0.714,Finished,18.0,2015,3,shanghai
5,vettel,ferrari,3.0,3.0,2.988,Finished,15.0,2015,3,shanghai
7,raikkonen,ferrari,4.0,6.0,3.835,Finished,12.0,2015,3,shanghai
19,massa,williams,5.0,4.0,8.544,Finished,10.0,2015,3,shanghai
77,bottas,williams,6.0,5.0,9.885,Finished,8.0,2015,3,shanghai
8,grosjean,lotus_f1,7.0,8.0,19.008,Finished,6.0,2015,3,shanghai
12,nasr,sauber,8.0,9.0,22.625,Finished,4.0,2015,3,shanghai
3,ricciardo,red_bull,9.0,7.0,32.117,Finished,2.0,2015,3,shanghai
9,ericsson,sauber,10.0,10.0,132.117,+1 Lap,1.0,2015,3,shanghai
11,perez,force_india,11.0,15.0,132.117,+1 Lap,0.0,2015,3,shanghai
14,alonso,mclaren,12.0,18.0,132.117,+1 Lap,0.0,2015,3,shanghai
55,sainz,toro_rosso,13.0,14.0,132.117,+1 Lap,0.0,2015,3,shanghai
22,button,mclaren,14.0,17.0,132.117,+1 Lap,0.0,2015,3,shanghai
28,stevens,manor,15.0,19.0,132.117,+2 Laps,0.0,2015,3,shanghai
98,merhi,manor,16.0,20.0,132.117,+2 Laps,0.0,2015,3,shanghai
33,max_verstappen,toro_rosso,17.0,13.0,132.117,Transmission,0.0,2015,3,shanghai
13,maldonado,lotus_f1,18.0,11.0,132.117,Brakes,0.0,2015,3,shanghai
