DriverNumber,DriverId,TeamId,Position,GridPosition,Time,Status,Points,season,round,circuitId
1,vettel,red_bull,1.0,1.0,0.0,Finished,25.0,2011,1,albert_park
3,hamilton,mclaren,2.0,2.0,22.297,Finished,18.0,2011,1,albert_park
10,petrov,renault,3.0,6.0,30.56,Finished,15.0,2011,1,albert_park
5,alonso,ferrari,4.0,5.0,31.772,Finished,12.0,2011,1,albert_park
2,webber,red_bull,5.0,3.0,38.171,Finished,10.0,2011,1,albert_park
4,button,mclaren,6.0,4.0,54.304,Finished,8.0,2011,1,albert_park
6,massa,ferrari,7.0,8.0,85.186,Finished,6.0,2011,1,albert_park
18,buemi,toro_rosso,8.0,10.0,185.186,+1 Lap,4.0,2011,1,albert_park
14,sutil,force_india,9.0,16.0,185.186,+1 Lap,2.0,2011,1,albert_park
15,resta,force_india,10.0,14.0,185.186,+1 Lap,1.0,2011,1,albert_park
19,alguersuari,toro_rosso,11.0,12.0,185.186,+1 Lap,0.0,2011,1,albert_park
9,heidfeld,renault,12.0,18.0,185.186,+1 Lap,0.0,2011,1,albert_park
21,trulli,lotus_racing,13.0,20.0,185.186,+2 Laps,0.0,2011,1,albert_park
25,ambrosio,virgin,14.0,22.0,185.186,+4 Laps,0.0,2011,1,albert_park
24,glock,virgin,15.0,21.0,185.186,+9 Laps,0.0,2011,1,albert_park
11,barrichello,williams,16.0,17.0,185.186,Transmission,0.0,2011,1,albert_park
8,rosberg,mercedes,17.0,7.0,185.186,Collision,0.0,2011,1,albert_park
20,kovalainen,lotus_racing,18.0,19.0,185.186,Water leak,0.0,2011,1,albert_park
7,michael_schumacher,mercedes,19.0,11.0,185.186,Collision,0.0,2011,1,albert_park
12,maldonado,williams,20.0,15.0,185.186,Transmission,0.0,2011,1,albert_park
16,kobayashi,sauber,21.0,9.0,185.186,Disqualified,0.0,2011,1,albert_park
17,perez,sauber,22.0,13.0,185.186,Disqualified,0.0,2011,1,albert_park
23,liuzzi,hrt,23.0,0.0,185.186,Did not qualify,0.0,2011,1,albert_park
22,karthikeyan,hrt,24.0,0.0,185.186,Did not qualify,0.0,2011,1,albert_park
1,vettel,red_bull,1.0,1.0,0.0,Finished,25.0,2011,2,sepang
4,button,mclaren,2.0,4.0,3.261,Finished,18.0,2011,2,sepang
